Dataset,"Image Resolution",ALBEF (4M),,ALBEF (14M),,"ALBEF 
(14M + coco_finetuned)",,"ALBEF 
(14M + flickr_finetuned)",
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224,31.9,54.67,39.05,67.19,49.91,75.95,50.85,77.06
,128,28.62,51.02,34.48,62.44,47.15,73.06,47.59,73.89
,64,20.26,39.48,22.18,45.96,38.29,64.03,38.04,64.04
,32,9.41,21.73,11.17,26.88,20.86,40.45,20.62,40.3
,16,2.86,7.89,3.14,8.71,4.51,11.16,5.22,13
Imagenet-A,224,16.2,35.97,17.89,42.76,26.89,54.76,30.52,57.97
,128,11.99,28.21,12.99,33.93,20.04,44.12,22.88,47.8
,64,6.64,18.11,6.76,21.27,11.43,29.57,12.81,32.36
,32,2.99,10.01,3.31,13.2,5.21,15.61,5.61,16.75
,16,1.47,6.51,1.76,6.91,1.81,6.51,2.37,7.36
Imagenet-V2,224,27.32,49.62,34.08,61.58,43.75,69.83,44.22,71.13
,128,23.91,45.23,30.23,56.85,40.88,66.91,40.92,68.01
,64,16.53,33.66,18.65,40.11,32.26,56.9,32.09,57.01
,32,7.56,18.35,9.28,22.69,16.54,34.26,16.75,34.9
,16,2.55,7.44,2.42,7.15,3.56,9.14,4.31,10.92
Imagenet-R,224,35.81,58,54.97,77.04,66.84,85.91,68.15,86.32
,128,30.89,52.35,50.44,72.51,63.68,83.18,65.57,84.13
,64,21.24,39.38,34.53,55.11,50.14,71.17,51.71,72.53
,32,10.89,23.91,18.99,34.77,27.18,44.83,28.62,46.27
,16,4.74,13.38,6.88,16.32,8.16,18.13,8.78,19.28
"Imagenet-
Sketch",224,19.47,38.25,28.41,55.14,39.02,64.82,39,65.21
,128,15.09,31.29,23.8,48.45,35.39,60.57,35.38,60.91
,64,5.13,13.32,10.55,26.02,21.53,41.39,21.73,41.39
,32,1.35,4.75,2.79,7.89,5.25,12.18,5.5,12.44
,16,0.66,2.57,0.35,1.44,0.38,1.35,0.45,1.51
"Caltech101 
~300 x 200",224,66.05,77.72,72.45,89.53,83.8,97.63,84.75,97.56
,128,66.14,77.24,69.35,85.8,83.57,97.2,84.38,97.31
,64,59.45,72.25,55.78,74.22,77.17,95.52,78.5,95.27
,32,40.23,56.24,39.95,62.65,61.08,84.4,60.33,82.56
,16,14.27,30.65,20.22,41.03,26.83,47.07,26.46,46.96
"DTD 
split-1 
300x300 - 640x640",224,19.41,48.88,31.97,62.55,37.71,67.55,41.44,70.96
,128,17.13,45.8,29.68,59.2,35.43,65,38.99,68.14
,64,13.35,37.98,18.99,46.17,25.53,56.33,29.63,60
,32,8.72,27.39,10.37,31.97,12.29,36.12,14.73,41.97
,16,5.59,18.88,4.47,17.13,4.15,19.36,4.84,19.41
"Food101 
512*512",224,25.01,49.17,48.23,78.7,59.38,84.5,58.42,84.53
,128,20.15,44.37,39.44,71.98,55.88,82.21,54.21,81.63
,64,13.84,33.96,24.38,57.45,45.21,74.8,43.39,73.32
,32,6.87,20.24,9.36,32.4,21.77,49.14,20.84,47.07
,16,2.7,10.41,3.24,12.73,5.3,15.75,4.76,15.21
SUN397,224,36.08,68.85,47.44,81.81,56.14,85.34,57.93,88.15
,128,32.71,64.95,43.74,78.07,53.66,83.72,55.05,85.63
,64,24.08,52.12,31.81,64.08,44.52,76.08,44.99,77.28
,32,11.56,28.7,18.02,42.84,25.65,52.3,25.7,53.61
,16,3.59,10.83,5.9,17.25,6.56,17.77,7.61,20.87
"Stanford Cars 
360×240",224,1.98,8.21,17.66,48.38,20.87,57.62,24.14,59.73
,128,1.65,7.28,13.24,39.66,17.46,51.65,20.49,53.07
,64,1.31,6.27,7.13,24.05,11.53,38.49,13.47,40.03
,32,1.02,5,3.58,12.96,5.29,19.69,6.33,22.16
,16,0.57,3.37,0.98,4.51,1.23,5.04,1.83,7.56
FGVC Aircraft,224,2.67,11.73,3.57,15.54,6.09,19.74,5.67,19.44
,128,2.34,10.2,3.78,13.95,5.79,19.05,5.19,17.85
,64,1.77,8.37,3.09,10.62,5.49,17.4,4.02,15.36
,32,1.35,6.06,2.19,8.25,3.75,13.95,3.45,12.42
,16,0.99,4.92,1.2,5.91,1.65,7.8,1.8,7.17
Oxford Pets,224,19.41,44.59,27.45,73.1,62.74,92.61,58.9,90.05
,128,17.66,42.6,23.44,65.6,60.7,90.81,55.9,88.2
,64,15.34,36.88,15.75,50.29,54.02,86.86,49.9,84.06
,32,10.71,26.93,11.23,37.61,34.48,69.83,33.22,66.97
,16,4.88,19.24,7.06,25.76,10.66,33.22,11.88,33.33
Flowers102,224,25.04,45.16,21.79,48.11,37.03,59.88,35.29,61.57
,128,21.89,43.37,19.48,44.58,35.68,58.82,32.96,60.03
,64,18.08,36.38,11.61,34.23,30.35,54.87,25.32,54.53
,32,11.43,27.73,5.45,23.29,20.7,42.82,14.8,40.14
,16,5.46,18.56,3.27,15.56,9.12,25.04,5.74,20.6
EuroSAT,224,19.37,64.48,17.44,66.96,33.8,82.85,25.69,75.19
,128,20.04,62.63,20.72,66.02,33.74,82.67,25.3,75.39
,64,18.96,63.19,17.81,65.35,33.69,82.17,24.89,74.94
,32,11.35,53.69,15.65,57,26.91,72.83,24.5,69.69
,16,7.7,53.91,17.28,49.44,13.2,52.93,13.15,62.78
UCF101,224,32.75,54.06,38.7,65.13,51.04,74.04,55.7,77.32
,128,32.01,52.89,36.58,62.89,49.91,73.62,54.77,75.97
,64,22.89,42.69,28.26,50.96,43.11,66.46,47.26,70.29
,32,9.7,26.96,15.44,36.27,27.94,50.99,28.87,53.11
,16,1.98,11.79,6.03,17.34,6.74,20.14,7.98,23.98
