Dataset,"Image Resolution",BLIP-ViT-B/16 (4M),,BLIP-ViT-B/16 (129M),,BLIP-ViT-B/16 & CapFilt-L (129M),,BLIP-ViT-L/16 (129M),,"BLIP-ViT-B/16 
(129M + COCO)",,"BLIP-ViT-B/16 
(129M + Flickr)",,"BLIP-ViT-L/16 
(129M + COCO)",,"BLIP-ViT-L/16 
(129M + Flickr)",
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224,47.76,74.94,47.57,76.01,50.69,77.72,59.63,83.76,55.17,82.38,53.69,81.46,62.57,86.58,61.27,85.79
,128,44.27,71.48,44.42,72.28,48.45,75.64,58.24,82.18,52.17,79.58,49.89,77.93,59.97,84.53,58.43,83.39
,64,29.94,53.97,32.64,57.86,38.31,64.15,48.61,72.74,42.12,69.64,38.99,66.31,51.65,77.23,49.2,74.8
,32,11.77,26.26,15.24,31.22,19.81,38.63,32.42,53.82,20.97,41.04,18.96,37.71,34.51,57.77,32.34,55.2
,16,3.53,9.61,4.61,11.19,6.95,16.47,14.05,27.77,5.41,13.13,5.44,13.08,13.66,27.54,13.02,26.46
Imagenet-A,224,22.57,48.68,23.67,48.91,24.88,49.84,33.61,56.68,31.47,60.29,33.52,61.55,39.12,66.72,39.85,65.52
,128,16.17,37.8,16.51,36.75,18.03,39.16,26.72,47.65,23.65,48.07,24.12,48.13,31.83,57.69,31.39,55.51
,64,8.35,23.33,9.29,23.33,10.41,25.39,16.29,32.63,13.76,32.04,13.92,31.07,20.49,41.52,19.03,39.28
,32,3.24,11.64,4.32,12.15,5.15,14.24,7.76,19.81,5.35,14.11,5.33,14.2,9.55,22.56,8.96,22.07
,16,2.19,8.45,2.09,7.16,2.31,7.77,3.48,10.89,1.85,5.77,1.97,6.59,3.47,10.11,3.56,11.45
Imagenet-V2,224,41.32,68.47,41.43,69.93,44.53,71.69,53.74,78.57,47.94,76.87,47.01,75.8,54.91,80.98,54.15,80.31
,128,36.79,63.95,37.43,64.85,41.66,68.42,50.77,76.06,44.6,73.32,43.01,71.92,52.15,78.38,50.56,77.37
,64,24.66,46.94,26.56,49.92,32.05,55.93,40.88,64.95,35.15,61.73,32.64,58.99,43.71,69.32,41.64,67.27
,32,9.49,21.7,12.05,26.2,16.17,32.26,25.83,45.86,16.56,33.86,15.15,31.28,28.04,49.08,26.55,46.89
,16,2.84,8.55,3.75,9.44,5.37,13.89,10.74,22.76,4.01,10.81,4.53,10.93,10.66,22.68,10.13,22.39
Imagenet-R,224,64.71,83.04,69.58,86.41,70.94,87.22,79.31,90.61,76.09,91.67,74.26,90.42,83.99,94.54,82.68,93.84
,128,59.43,78.7,65.31,82.61,67,84.03,76.93,88.48,72.93,89.37,70.76,87.75,81.94,93.2,80.16,92.16
,64,42.31,62.71,49.17,67.56,52.71,70.94,65.03,79.06,61.11,79.95,57.82,77.01,72.43,86.34,69.67,84.34
,32,20.92,36.82,27.29,42.77,31.71,48.88,44.24,60,34.85,53.61,33.24,51.32,49.94,66.76,48.21,65.48
,16,7.53,16.89,9.08,17.77,12.08,23.58,21.65,34.8,10.88,21.84,11.79,23.07,21.96,36.02,22.1,36.86
"ImageNet
-Sketch",224,39.99,66.17,44.32,70.22,47.2,72.63,53.31,76.5,47.04,73.54,45.36,71.95,55.36,78.62,53.59,77.04
,128,33.55,58.31,39.95,65.36,42.77,67.97,50.26,73.38,43.97,70.36,41.93,67.64,52.62,76.06,50.67,74.2
,64,17,34.44,24.56,45.37,27.32,48.2,36.76,57.84,32.21,56.23,29.57,52.55,41.88,64.7,39.11,61.4
,32,5.07,11.95,11.01,22.43,10.85,22.31,18.32,32.8,12.94,26.1,12.81,25.7,21.66,38.19,20.61,36.73
,16,0.8,2.39,2.68,6.31,2.46,6.36,5.42,11.31,2.73,6.72,2.97,7.37,6.36,13.26,6.2,12.89
"Caltech101 
~300 x 200",224,81.37,97.61,85.92,98.8,86.54,97.72,88.05,99.33,88.01,99.66,88.21,99.63,88.44,99.82,88.24,99.59
,128,81.48,97.68,81.94,97.64,82.57,94.39,87.34,99.04,87.16,99.54,87.66,99.5,88.22,99.68,87.6,99.38
,64,74.07,92.9,80.61,96.12,79.21,91.96,83.21,97.34,82.72,98.37,82.33,97.5,84.86,98.69,84.03,98.16
,32,54.38,75.1,61.8,83.55,64.78,84.97,74.59,92.26,64.49,85.51,64.51,84.33,76.66,93.34,74.98,93.09
,16,25.36,49.65,26.83,53.32,33.73,61.86,49.58,71.49,24.05,49.99,23.48,46.79,47.97,71.93,44.36,68.9
"DTD 
split-1 
300x300 - 640x640",224,42.5,72.98,49.47,76.38,49.41,76.81,51.44,77.66,50.9,80.9,52.5,82.77,54.57,81.97,54.68,80.11
,128,37.66,67.34,45.96,73.88,46.65,75.16,48.56,75.8,48.67,79.47,49.63,80.43,52.77,80.69,51.76,77.87
,64,23.56,51.76,33.56,60.27,33.94,62.45,37.77,64.73,37.87,69.47,39.31,69.84,43.83,71.6,40.59,68.3
,32,11.54,32.5,15.53,36.17,16.49,39.2,20.74,47.5,15.69,42.87,17.07,43.94,27.02,54.36,22.82,50
,16,6.06,23.19,7.23,21.97,8.19,24.2,10.64,27.98,7.29,26.38,8.88,27.61,12.13,33.19,10.37,29.52
"Food101 
512*512",224,59.25,84.89,59.03,86.97,65.63,89.39,77.42,94.34,67.51,91.91,62.98,89.53,75.09,94.12,74.51,94.26
,128,52.94,80.16,50.71,80,58.82,84.83,73.45,92.7,63.32,89.33,58.41,86.43,71.79,92.94,70.91,92.67
,64,33.49,61.79,36.25,65.48,43.69,72.82,62.9,86.8,50.54,80.31,45.94,76.5,61.89,87.96,60.34,86.43
,32,10.87,28.85,16.81,37.71,21.67,46.62,44.08,71.64,19.37,42.21,19.39,42.26,41.37,71.19,39.35,68.84
,16,3.79,12.36,4.7,12.95,6.11,18.85,18.3,40.93,4.17,12.02,4.52,13.03,15.27,36.05,13.91,34.48
SUN397,224,54.17,85.73,50.01,79.83,49.42,80.13,61.76,89.59,59.41,88.4,56.97,87.37,65.73,92.29,64.98,92.47
,128,50.48,82.47,47.91,78.2,49.38,79.73,61.59,89.22,57.35,87.04,54.14,85.47,63.96,91.32,63.55,91.37
,64,35.02,65.52,35.92,65.61,40.93,71.85,53.66,83.07,47.64,79.28,44.18,76.78,56.41,86.91,55.71,85.93
,32,13.51,32.79,16.74,37.24,20.24,44.31,37.71,66.86,24.36,51.3,21.6,46.73,40.22,71.84,38.55,69.14
,16,5.36,15.75,6.12,17.35,7.87,21.4,17.17,37.73,6.77,19.66,6.52,18.94,17.31,39.06,15.89,36.9
"Stanford Cars 
360×240",224,22.44,57.94,60.29,93.83,61.8,93.82,69.07,95.9,64.97,95.03,62.9,94.06,68.36,95.59,70.02,96.17
,128,17.72,48.78,52.98,88.75,54.52,89.96,66,94.06,59.67,92.1,55.75,89.85,64.48,93.98,66.02,94.58
,64,7.7,25.47,26.81,62.27,30.71,67.75,51.18,85.39,40.27,78.14,36.24,73.25,49,85.49,51.05,86
,32,2.29,10.2,6.29,20.72,8.16,25.3,24.44,56.41,10.3,30.1,9.51,27.93,20.98,51.56,23.8,53.77
,16,0.96,4.38,1.22,5.56,2.23,8.94,4.95,16.47,1.28,4.96,1.02,5.38,3.99,13.89,4.54,14.82
