Dataset,"Image Resolution",ViT-B/32,,ViT-B/16,,ViT-L/14,,ViT-L/14@336px,,RN50,,RN101,,RN50x4,,RN50x16,,RN50x64,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224 (original),63.41,88.83,68.33,91.87,75.53,94.58,76.56,95.11,59.8,86.56,62.32,88.25,66.25,90.47,70.73,92.82,73.92,94.16
,128,61.04,87.41,65.87,90.61,73.39,93.61,74.11,94.03,55.2,83.61,59.07,86.18,61.56,87.61,65.42,89.97,70.44,92.31
,64,52.36,80.74,57.5,84.84,66.95,90.19,67.15,90.41,40.37,69.85,46.24,75.19,46.83,75.81,51.57,79.86,59.06,85.07
,32,32.81,59.4,36.52,64.05,48.26,74.99,47.9,74.47,16.37,37.17,20.58,43.21,20.47,43.25,23.93,47.45,31.39,56.45
,16,10.69,25.14,12.83,29.14,18.94,37.31,17.83,35.82,1.77,6.51,2.65,8.1,2.91,9.14,2.94,9.06,4.88,13.05
ImageNet-A,224 (original),31.48,63.87,49.91,80.11,70.41,90.53,77.01,93.53,23.35,56.41,29.28,63.6,41.51,74.07,57.03,84.41,70.39,90.63
,128,26.48,58.25,40.84,72.21,61.84,85.52,65.51,88.21,15.44,43.55,22,52.4,26.08,55.73,34.89,66.61,48.31,77.01
,64,15.99,41.13,24.15,52.35,39.59,68.25,40.16,68.57,7.2,25.19,10.75,31.8,11.28,31.23,15.11,38.17,21.27,47.47
,32,6.65,20.23,8.28,23.85,14.67,34.51,13.99,33.88,2.44,10.19,3.8,14.01,3.39,12.15,3.75,13.03,5.37,16.31
,16,2.28,8.28,2.65,9.67,3.73,10.44,3.36,9.88,0.89,3.73,1,4.49,1.12,4.8,1.08,3.56,1,3.93
ImageNet-V2,224 (original),55.99,83.46,61.86,87.37,69.84,90.89,70.88,91.64,52.91,81.47,56.21,83.17,59.45,85.81,64.25,88.38,67.03,90.66
,128,53.99,81.77,59.41,85.91,67.38,89.57,68.04,90.22,48.24,77.43,52.35,80.37,54.45,81.81,58.18,84.37,63.35,87.89
,64,45.35,74.09,50.55,78.75,60.25,85.05,60.45,85.24,34.56,63.24,39.82,68.5,40.28,68.28,44.88,73.2,51.84,78.19
,32,27.33,52.39,31.21,56.65,41.4,67.5,41.02,66.47,13.66,32.34,17.62,37.73,17.12,37.81,20.15,41.73,25.91,49.07
,16,8.87,21.42,10.63,25.52,15.26,32.15,14.3,31.38,1.63,5.66,2.15,6.77,2.49,7.92,2.61,8.18,3.94,11.08
ImageNet-R,224 (original),68.6,88.44,76.9,92.67,87.2,96.93,88.22,97.34,59.59,82.64,67,87.17,71.57,89.86,78.9,93.38,83.98,95.62
,128,66.85,87,74.54,91.6,85.44,96.01,86.16,96.35,56.46,80.19,64.63,85.27,67.56,87.33,75.01,91.16,81.23,94.41
,64,56.91,79.16,65.06,85.3,78.21,91.92,78.38,92.06,41.85,67.36,52.23,75.63,53.4,75.83,61.81,82.14,70.05,87.48
,32,35.66,57.84,42.48,63.83,56.8,75.21,56.22,74.62,18.05,38.37,27.72,49.43,26.81,47.63,33.86,54.69,41.9,62.78
,16,12.78,26.8,17.53,33.11,24.98,41.05,23.63,39.35,3.49,11.98,6.47,17.51,6.22,15.86,7.41,17.11,9.92,21.71
ImageNet-Sketch,224 (original),42.31,70.31,48.27,76.28,59.59,84.26,60.97,84.98,35.48,63.35,41.06,68.73,44.68,72.42,50.63,77.55,55.93,81.31
,128,40.22,68.36,45.67,73.95,57.61,83.04,57.99,83.21,32.06,59.91,37.74,65.58,40.68,69.01,46.07,74.27,52.59,78.81
,64,30.74,57.37,35.32,63.33,48.36,75.21,48.03,74.83,19.52,42.72,25.26,50.37,27.21,52.7,33.46,60.49,40.41,67.58
,32,13.46,30.24,16.1,35.31,26.42,48.62,26.1,48.05,5.27,15.38,9.08,22.5,9.22,22.87,12.57,28.37,17.56,35.85
,16,2.39,7.17,3.63,9.93,6.72,15.81,6.01,14.61,0.49,2.42,1.05,3.61,0.91,3.19,1.14,4.27,1.94,5.47
"Caltech101 
~300 x 200",224 (original),87.5,99.72,88.03,99.77,89.02,99.24,89.78,99.43,82.91,99.13,84.81,98.72,84.22,99.13,86.7,99.36,88.91,99.57
,128,86.9,99.7,87.59,99.75,87.89,99.15,88.1,99.5,84.58,99.13,84.61,98.78,84.58,99.11,86.95,99.29,89.25,99.66
,64,83.64,98.81,84.13,99.31,86.95,97.8,87.34,98.49,77.47,96.81,79.33,95.47,77.63,93.73,82.98,98.19,85.94,98
,32,75.7,94.85,73.14,92.01,82.13,96.46,81.18,96.79,54.91,85.04,64.3,84.63,61.2,80.73,69.63,89.18,74.23,89.07
,16,42.64,73.56,49.78,75.76,59.13,84.24,57.29,81.51,14.2,42.04,26.08,50.73,25.7,54.47,31.1,55.18,32.51,53.85
"DTD 
split-1 
300x300 - 640x640",224 (original),43.99,76.76,44.73,76.38,55.48,84.1,55.9,84.2,41.44,74.1,43.62,74.26,48.46,80.74,52.82,80.32,53.19,85.69
,128,41.97,74.57,43.72,75.32,53.88,81.49,54.1,82.07,38.78,70.74,42.23,72.39,46.65,78.3,49.63,77.82,50.9,83.72
,64,37.66,68.4,38.3,68.99,46.86,76.33,47.45,77.61,30.53,62.5,34.73,63.14,38.19,70.21,41.28,71.65,45,75.85
,32,22.55,51.91,23.78,52.87,31.44,60.85,32.29,59.89,18.14,44.84,18.62,45.53,21.49,50.96,20.96,48.94,24.52,53.78
,16,9.31,28.51,10.27,31.6,12.5,35.27,12.13,34.31,6.28,24.63,7.07,22.93,7.07,25.48,7.5,23.3,7.87,25.37
"Food101 
512*512",224 (original),82.27,96,87.04,97.35,91.19,98.27,91.96,98.44,79.13,95.07,81.94,96.04,84.78,96.59,88.7,97.5,90.15,98.13
,128,80.5,95.33,85.01,96.88,89.92,98.11,90.43,98.19,73.58,92.94,78.15,94.48,79.16,94.76,82.85,95.87,86.31,97.09
,64,72.61,92.39,76.61,94.17,84.92,96.71,84.44,96.67,54.85,81.89,61.46,86.33,57.96,84.17,64,87.25,72.13,91.6
,32,44.77,74.54,48.76,77.77,61.12,84.52,59.97,84.12,17.83,41.83,24.31,51.2,21.51,48.98,25.32,52.47,34.49,63.09
,16,11.09,30.13,13.22,33.83,15.66,35.01,15.63,35.2,2.84,12.43,4.35,15.86,4.72,16.46,3.88,14.53,6.81,19.59
