Dataset,"Image Resolution",CoCa-ViT-B/32,,"CoCa-ViT-L/14
(laion2b_s13b_b90k)",,"CoCa-ViT-L/14
(laion2b_s13b_b90k + mscoco)",
,,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224 (original),63.6,88.05,75.65,94.29,72.14,93.25
,128,62.99,87.44,74.65,93.7,71.43,92.69
,64,57.16,83.18,70.29,91.19,65.84,89.03
,32,41.93,68.6,55.5,79.78,48.97,75.07
,16,16.04,34.55,24.46,44.72,17.65,35.7
ImageNet-A,224 (original),21.53,51.19,53.51,80.53,45.81,75.11
,128,19.11,48.21,46.41,74.71,38.44,68.36
,64,13.27,36.68,30.56,57.79,25.57,51.03
,32,7.17,21.77,13.59,32.75,10.53,28.24
,16,2.81,10.73,4.11,13.45,3.39,11.51
ImageNet-V2,224 (original),55.72,81.6,67.96,90.3,64.9,89.22
,128,54.47,80.62,67.09,89.15,63.43,87.79
,64,48.96,75.9,62.09,85.49,57.74,82.87
,32,35.06,60.49,46.86,72,41.44,66.66
,16,13.48,29.42,19.79,38.52,14.25,30.41
ImageNet-R,224 (original),73.23,89.72,87.66,96.36,85.33,95.5
,128,72.94,89.64,87.31,96.11,85.49,95.31
,64,68.59,86.22,83.6,93.7,80.77,92.66
,32,50.95,71.93,67.2,82.34,62.25,79.07
,16,23.07,42.2,32.74,49.95,26.42,43.03
ImageNet-Sketch,224 (original),51.39,77.8,64.62,86.93,61.16,84.54
,128,51.28,77.32,64.24,86.55,61.03,84.5
,64,45.45,71.6,58.94,82.39,54.95,79.33
,32,26.04,47.74,39.18,62.19,34.63,57.22
,16,7.81,17.88,12.63,24.84,9.86,20.36
"Caltech101 
~300 x 200",224 (original),89.16,99.79,91.06,99.93,90.54,99.91
,128,88.79,99.79,90.74,99.96,90.49,99.91
,64,87.16,99.63,89.89,99.88,88.84,99.86
,32,79.87,96.88,84.58,98.6,82.54,97.8
,16,58.14,82.93,68.09,88.68,56.7,83.73
"DTD 
split-1 
300x300 - 640x640",224 (original),53.3,85.21,62.61,89.68,62.23,89.47
,128,52.39,83.35,61.17,88.35,59.95,89.31
,64,49.36,79.68,58.35,85.16,56.65,83.99
,32,36.44,67.45,43.3,74.68,38.03,66.86
,16,13.88,38.3,19.41,43.78,14.57,35.69
"Food101 
512*512",224 (original),77.38,94.27,88.65,97.6,82.69,96.45
,128,76.72,93.82,87.51,97.36,81.84,96.15
,64,70.54,91.01,83.34,96.24,76.29,93.83
,32,50.24,78.13,66.4,88.24,57.17,83.5
,16,16.84,40.59,25.03,50.79,19.52,44.14
SUN397,224 (original),66.14,92.56,73.13,95.53,71.91,94.8
,128,65.66,92.23,72.71,95.32,71.48,94.81
,64,61.95,90.12,70.37,94.01,67.67,92.82
,32,48.25,78.63,58.88,87.06,52.08,81.58
,16,18.76,42.35,28.22,55.41,19.59,43.97
"Stanford Cars 
360×240",224 (original),84.13,98.79,92.75,99.85,88.57,99.63
,128,84.83,98.91,91.87,99.79,87.39,99.5
,64,78.96,97.7,89.08,99.5,82.49,98.67
,32,53.53,84.9,69.39,93.04,55.91,85.6
,16,9.31,28.67,17.9,42.02,8.16,25.3
FGVC Aircraft,224 (original),18.87,49.53,36.24,78.16,23.49,54.7
,128,19.41,50.05,35.58,75.79,24.15,56.53
,64,15.45,40.92,29.31,67.87,19.65,47.07
,32,8.58,25.26,15.3,40.41,11.19,27.81
,16,3.78,15.18,5.94,18.03,3.78,12.27
Oxford Pets,224 (original),89.13,99.37,94,99.81,91.44,99.75
,128,88.01,99.37,93.7,99.78,90.9,99.67
,64,83.4,98.36,92.07,99.56,89.13,99.4
,32,67.95,94.22,83.57,98.15,79.91,97.36
,16,35.19,68.82,47.48,78.88,39.66,72.99
Flowers102,224 (original),64.73,85.44,75.56,91.56,70.99,89.45
,128,64.76,85.48,76.24,91.14,72.22,88.7
,64,60.66,83.56,74.14,90.34,68.97,87.32
,32,47.72,74.45,64.5,84.73,57.55,79.43
,16,24.28,51.85,37.96,63.08,26.61,51.39
EuroSAT,224 (original),45.31,93.17,69.33,97.72,59.17,94.67
,128,46.26,93.17,69.87,97.65,58.07,94.19
,64,45.31,93.17,69.33,97.72,59.17,94.67
,32,36.44,83.78,53.57,92.5,42.09,87.46
,16,19.98,68.69,32.19,78.33,24.44,70.52
UCF101,224 (original),61.41,86.41,73.57,92.1,71.45,90.67
,128,62.75,86.73,73.06,91.86,71.32,90.64
,64,59.56,85.14,69.57,90.14,66.96,87.95
,32,47.11,74.81,59.05,82,54.88,78.17
,16,19.32,43.72,29.39,53.9,23.45,48.27
