Dataset,"Image Resolution",EVA-01-CLIP-g/14,,EVA-01-CLIP-g/14+,,EVA-02-CLIP-B/16,,EVA-02-CLIP-E/14,,EVA-02-CLIP-E/14+,,EVA-02-CLIP-L/14,,EVA-02-CLIP-L/14+ ,,EVA-CLIP-8B,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224 (original),76.1,94.77,79.33,95.97,74.720,94.240,81.97,96.53,81.98,96.63,79.76,95.970,80.070,96.19,83.55,96.86
,128,75.46,94.44,78.68,95.69,74.100,93.950,81.62,96.37,81.74,96.47,79.12,95.760,79.720,95.98,82.82,96.71
,64,72.42,92.6,76.2,94.58,70.790,91.990,80.01,95.65,80.18,95.81,76.92,94.610,77.160,94.88,80.56,95.69
,32,59.34,83.54,66.9,88.9,58.620,82.860,73.47,92.05,73.7,92.24,67.49,88.630,66.650,87.97,71,89.81
,16,28.59,50.41,39.66,63.57,28.550,51.010,46.02,68.26,46.44,68.61,38.29,61.050,34.250,56.28,40.42,61.68
ImageNet-A,224 (original),64.6,86.59,74.13,92.52,53.910,80.200,80.47,94.37,81.95,94.43,76.09,91.810,80.730,93.72,84.13,95.2
,128,57.4,82.81,67.04,88.88,47.470,74.810,75.57,92.28,77.84,92.28,68.37,87.370,74.250,90.61,75.75,91.45
,64,40.57,68.73,51.43,78.76,32.130,60.880,60.52,83.36,63.51,84.49,52.59,76.480,55.590,79.03,55.87,79.09
,32,16.59,38.16,26.35,51.49,14.840,36.130,32.47,58.08,34.25,58.49,26.25,49.720,25.270,48.68,29.49,52.83
,16,4.64,14.4,7.71,20.87,4.480,14.560,8.23,21.68,9.25,23.27,7.68,20.960,6.450,18.57,9.03,22.72
ImageNet-V2,224 (original),68.9,90.92,72.14,92.81,67.030,89.770,75.61,93.41,75.62,93.84,72.94,92.730,73.310,93.21,77.54,94.21
,128,68.24,90.15,71.59,92.18,66.370,89.090,74.91,93.08,75.32,93.46,71.99,91.970,72.810,92.58,76.23,93.54
,64,64.25,87.72,69.02,90.45,62.750,86.840,73.13,91.66,73.46,92.26,69.08,90.390,70.040,90.71,73.14,91.37
,32,50.89,75.82,58.32,82.18,49.510,75.440,65.69,86.52,65.1,86.51,59.01,82.180,58.250,81.49,61.42,82.54
,16,23.57,43.25,32.52,55.2,23.120,43.590,38.36,59.87,38.61,60.26,31.91,53.000,28.300,48.54,32.3,52.37
ImageNet-R,224 (original),89.18,97.29,92.32,98.55,81.950,93.650,93.94,98.9,94.46,98.95,92.33,98.350,93.060,98.53,95.22,99.11
,128,88.72,97.16,91.75,98.29,81.470,93.340,93.62,98.76,94.13,98.81,91.59,98.030,92.100,98.27,94.53,98.79
,64,84.81,95.19,89.23,96.99,77.710,90.830,91.53,97.83,92.61,98.12,88.93,96.560,89.220,96.77,91.5,97.34
,32,70.22,84.84,77.05,89.68,62.220,79.400,82.79,92.66,84.24,93.35,77.03,88.510,76.240,87.96,78.12,88.75
,16,36.46,53.39,45.49,63.03,30.640,48.700,51.41,67.26,53.98,69.15,44.94,60.890,42.000,58.1,42.94,59.37
ImageNet-Sketch,224 (original),63.34,86.84,68.12,89.67,57.730,82.270,71.51,90.94,71.63,90.95,68.14,89.080,68.980,89.65,74.29,91.93
,128,62.29,86.04,66.86,88.94,56.860,81.750,70.84,90.47,71.17,90.58,67.28,88.470,67.740,88.68,72.76,91.11
,64,57.38,81.76,62.62,85.91,51.690,76.980,67.87,88.51,68.22,88.52,63.26,85.550,62.830,85.11,68.08,88.02
,32,38.55,62,47.74,72.16,34.710,57.890,54.5,77.27,55.43,77.85,46.87,69.680,44.110,66.6,50.36,72.11
,16,12,23.84,18.58,34.82,9.400,19.990,22.9,39.71,22.15,38.2,17.58,32.040,15.420,28.96,17.1,30.98
Caltech101 (300 x 200),224 (original),90.47,99.89,90.38,99.96,88.840,99.890,91.61,99.98,91.22,99.98,90.63,99.910,90.610,99.84,91.31,99.96
,128,90.35,99.84,90.72,99.96,90.150,99.950,92.03,99.96,91.15,99.98,90.77,99.950,91.000,99.96,92.35,99.98
,64,88.93,99.79,90.24,99.98,89.960,99.860,92.24,99.98,90.83,99.98,89.43,99.910,89.520,99.91,92.08,99.93
,32,84.66,99.27,87.11,99.65,85.410,99.030,89.22,99.86,88.77,99.84,87.59,99.660,87.760,99.36,91.22,99.59
,16,70.21,90.92,78.98,95.09,70.780,91.040,82.49,96.39,81.3,96.79,79.56,94.790,77.350,92.9,76.29,92.97
"DTD split-1 
(300x300 - 640x640)",224 (original),59.36,86.76,67.34,92.5,52.710,81.440,68.88,92.5,67.87,92.5,63.24,86.170,64.200,86.22,70.8,93.72
,128,59.47,87.61,66.44,92.07,52.130,80.640,66.33,91.28,67.23,92.34,61.54,85.430,63.030,85.69,69.57,93.72
,64,56.54,83.94,62.34,88.94,48.830,77.180,63.99,88.19,63.14,89.15,59.10,82.610,59.630,83.35,64.26,88.94
,32,43.83,74.15,47.39,77.02,37.820,67.610,52.66,80.27,51.7,80.43,47.55,73.240,44.950,71.81,46.54,75.64
,16,20.64,46.65,22.71,51.28,17.180,41.440,24.52,50.21,22.18,50.11,20.69,47.020,17.770,43.72,21.44,46.6
Food101 (512*512),224 (original),89.72,98.09,91.81,98.13,87.650,97.430,93.35,98.42,93.11,98.26,91.54,98.510,92.370,98.66,93.5,98.21
,128,88.86,97.86,91.31,97.92,86.810,97.350,92.97,98.36,92.45,98.14,90.97,98.470,91.720,98.5,92.93,98.21
,64,85.65,97.06,88.88,97.68,83.000,96.300,91.33,98.19,91.05,97.92,88.52,97.880,88.700,97.83,91.05,97.92
,32,70.25,90.45,79.31,94.73,66.610,88.940,84.87,96.58,84.4,96.19,77.54,94.150,75.530,93.26,82.75,95.21
,16,28.79,56.02,43.91,72.07,26.790,54.000,49.29,75.42,50.06,75.2,38.91,65.900,32.440,58.91,45.26,70.66
SUN397,224 (original),71.9,94.84,75.14,96.05,70.740,94.500,76.58,96.62,74.62,95.93,74.30,95.480,74.980,95.78,76.59,96.38
,128,71.54,94.7,74.88,96.16,70.220,94.200,76.4,96.46,74.8,95.79,74.45,95.500,74.880,95.77,76.84,96.49
,64,70.04,93.91,73.74,95.64,68.280,93.120,75.25,96.11,73.52,95.35,72.92,95.180,73.560,95.4,75.46,96.13
,32,60.92,88.45,66.96,92.41,58.190,87.000,71.18,94.22,68.54,92.82,66.91,91.550,65.940,90.92,69.25,92.62
,16,29.87,56.38,40.09,68.56,29.270,57.160,44.67,71.41,44.04,71.75,38.11,65.370,34.450,60.66,38.4,65.65
Stanford Cars (360×240),224 (original),89.32,99.65,90.72,99.84,78.600,98.520,94.39,99.93,94.63,99.86,90.50,99.690,91.640,99.85,94.84,99.86
