Dataset,"Image 
Resolution",M2-Encoder-0.4B ,,M2-Encoder-1B ,,M2-Encoder-10B ,
,,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224 (original),77.15,95.51,83.7,97.76,88.31,98.91
,128,73.32,94.03,82.61,97.28,87.02,98.66
,64,65.05,89.08,77.71,95.05,82.57,97.23
,32,44.81,71.38,59.78,82.33,63.91,86.44
,16,14.42,31.34,22.62,41.28,25.89,48.18
ImageNet-A,224 (original),32.73,64.81,56.61,82.49,55.93,84.81
,128,27.25,56.15,49.12,75.95,48.96,79.81
,64,18.13,42.39,32.75,59.44,33.8,64.8
,32,8.45,24.32,15,34,15.45,38.07
,16,3.32,10.8,4.21,12.07,4.37,14.19
ImageNet-V2,224 (original),59.38,85.14,69.72,91.62,71.9,92.73
,128,56.13,83.14,68.54,90.32,70.54,91.42
,64,49.63,76.61,62.75,86.15,65.07,87.99
,32,33.63,58.66,45.89,70.15,48.23,73.81
,16,10.97,25,16.81,32.76,19.22,38.93
ImageNet-R,224 (original),72.36,89.98,86.29,95.93,86.62,96.77
,128,69.73,88.2,85.54,95.37,85.39,96.21
,64,62.83,82.85,79.59,91.53,80.38,93.44
,32,43.49,64.49,59.52,75.94,61.54,80.19
,16,17.53,33.12,26.43,42.78,29.15,48.57
ImageNet-Sketch,224 (original),50.51,76.96,62.05,84.89,63.72,87.07
,128,48.89,75.18,61.06,83.98,62.57,86.04
,64,40.82,66.45,54.46,77.98,57,81.78
,32,22.54,42.06,33.91,54.84,36.22,59.36
,16,6.63,15.11,11.65,22.64,12.11,25.33
"Caltech101 
~300 x 200",224 (original),87,99.75,91,99.93,91.34,99.95
,128,86.06,98.11,90.79,99.86,91.15,99.95
,64,82.4,95.48,87.32,99.52,89.04,99.73
,32,74.55,94.19,80.31,97.38,85.57,98.41
,16,56.15,81.67,59.34,82.1,65.68,87.34
"DTD 
split-1 
300x300 - 640x640",224 (original),52.98,79.57,54.57,82.5,56.7,81.65
,128,51.28,77.98,53.62,81.44,55.96,80.69
,64,46.81,73.4,49.15,76.81,50.64,77.07
,32,31.6,59.84,34.89,65.9,36.86,66.33
,16,15,35.74,15,40.11,17.34,40.85
"Food101 
512*512",224 (original),74.17,93.5,80.58,96.62,87.56,97.73
,128,72.43,92.65,79.49,96.12,86.25,97.42
,64,64.25,88.26,74.56,94.03,82.27,96.19
,32,45.17,73.96,55.53,82.32,66.11,88.8
,16,12.8,33.4,17.31,39.89,27.13,54.43
SUN397,224 (original),63.78,91.52,69.66,94.16,74.24,96.2
,128,61.83,90.38,69.03,93.89,73.42,95.86
,64,57.09,87.02,66.28,92.49,70.73,94.75
,32,42.66,73.96,54.58,83.98,58.79,87.42
,16,14.86,35.72,21.47,45.2,24.56,51.15
"Stanford Cars 
360×240",224 (original),81.27,98.87,71.25,94.62,92.5,99.79
,128,77.68,98.32,69.95,94.54,91.77,99.73
,64,69.02,95.7,63.64,91.52,88.4,99.27
,32,41,75.43,45.08,77.3,67.48,92.31
,16,4.37,16.66,8.48,25.27,12.98,34.2
FGVC Aircraft,224 (original),12.66,36.66,15.15,39.6,22.71,57.25
,128,11.82,35.67,15.54,40.86,22.23,56.29
,64,9.54,30.33,13.98,37.32,18.57,50.02
,32,6.48,22.26,10.05,27.48,12.42,35.61
,16,3,12.3,3.75,14.52,5.04,19.35
Oxford Pets,224 (original),81.68,99.32,86.05,99.4,92.8,99.84
,128,78.88,98.69,85.53,99.54,92.12,99.78
,64,72.88,96.89,82.58,98.94,88.88,99.65
,32,56.01,87.63,71.49,94.39,75.03,96.51
,16,21.5,51.62,33.96,65.58,40.01,73.89
Flowers102,224 (original),55.98,73.38,64.43,83.8,76.76,89.54
,128,53.65,73.02,64.95,84.24,74.86,89.1
,64,50.32,70.06,62.24,82.44,71.72,87.9
,32,36.72,59.08,52.43,73.61,62.14,81.77
,16,16.59,37.34,24.95,46.38,32.75,59.21
EuroSAT,224 (original),53.43,90.65,58.83,85.07,58.17,95.76
,128,53.39,90.56,58.83,84.98,59.07,95.7
,64,53.43,90.65,58.83,85.07,58.17,95.76
,32,30.43,77.91,40.98,79.56,42.15,84.8
,16,13.39,59.93,21.2,67.93,23.94,67.85
UCF101,224 (original),58.37,78.32,58.63,81.65,72.38,91.33
,128,57.6,77.93,58.42,81.1,72.51,90.93
,64,53.74,76,55.51,77.9,68.89,88.9
,32,40.23,63.31,45.31,67.22,56.73,79.67
,16,13.43,33.02,19.11,37.91,25.69,50.44
