Dataset,"Image 
Resolution","MetaCLIP-
ViT-B/32 (400M)",,"MetaCLIP-
ViT-B/32 (2.5B)",,"MetaCLIP-
ViT-B/16 (400M)",,"MetaCLIP-
ViT-B/16 (2.5B)",,"MetaCLIP-
ViT-L/14 (400M)",,"MetaCLIP-
ViT-L/14 (2.5B)",,"MetaCLIP-
ViT-H/14 (2.5B)",,"MetaCLIP-
ViT-G/14 (2.5B)",
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224 (original),65.59,89.22,67.65,90.54,70.78,92.53,72.12,93.4,76.21,94.54,79.18,95.89,80.52,96.28,82.04,96.47
,128,63.88,88.08,66.84,89.89,68.78,91.43,71.08,92.71,74.56,93.71,78.35,95.47,79.8,96.08,81.46,96.28
,64,54.81,81.22,60.63,85.7,59.3,85.05,64.4,88.81,67.74,89.9,73.58,93.21,75.73,94.06,77.85,94.62
,32,32.65,58.21,43,70.12,32.95,58.11,45.91,72.74,46.03,71.56,55.11,79.69,59.79,82.78,63.07,84.64
,16,14.08,31.23,15.01,32.18,11.23,25.54,20.33,40.62,17.1,34.39,29.63,52.35,33.45,55.87,38.22,60.77
ImageNet-A,224 (original),28.41,61.28,29.68,63.16,46.75,78.16,49.32,80.2,66.04,87.8,71.97,90.79,75.36,91.76,78.28,93.19
,128,24.39,55.83,27.21,59.88,37.25,68.81,42.73,74.49,55.29,81.96,64.75,87.24,69.55,88.76,73.6,90.92
,64,14.12,37.25,18.03,44.01,20.24,46.45,25.13,53.44,34.47,62.01,42.48,70.17,47.76,72.95,53.41,77.33
,32,6.05,18.81,8.12,24.48,7.2,21.59,9.15,27.24,12.88,30.73,16.13,36.35,18.92,40.37,21.93,44.19
,16,2.8,10.33,3.19,10.33,2.73,10.13,3.56,12.12,3.57,11.92,5.76,16.84,6.76,18.92,8.76,22.01
ImageNet-V2,224 (original),57.56,83.46,59.57,85.44,62.64,87.65,65.06,89.3,69.87,91,72.56,92.64,74.11,93.32,76.04,93.4
,128,55.35,81.53,58.66,84.53,60.74,85.9,63.45,88.02,67.59,89.33,70.89,92.02,73.18,92.65,75.23,92.97
,64,46.04,72.91,52.61,79.16,50.57,77.84,56.52,82.59,60.38,84.1,65.51,88.84,68.04,89.77,70.41,90.74
,32,26.81,49.92,36.47,62.03,26.3,49.96,38.99,64.86,38.47,63.28,46.9,72.05,50.88,75.14,54.07,77.43
,16,11.35,25.86,11.9,26.95,8.8,21.3,16.24,34.39,13.73,29.21,24.77,45.04,27.56,48.42,32.01,52.58
ImageNet-R,224 (original),73.91,90.46,77.3,91.94,80.99,94.24,83.39,95.37,88.42,97.05,91.77,98.09,93.24,98.47,94.04,98.69
,128,73.84,90.19,77.3,91.94,80.53,94.02,83.52,95.28,87.79,96.77,91.31,97.91,93.06,98.33,93.84,98.56
,64,65.94,84.42,72.09,88.68,72.44,88.97,78.94,92.43,82.24,93.2,87.94,96.33,89.86,96.73,91.08,97.04
,32,43.15,65.5,56.58,76.96,46.66,67.66,62.02,80.77,60.44,77.68,72.75,86.73,76.03,87.7,78.55,88.89
,16,20.13,37.86,25.92,45.1,17.68,34.44,31.33,50.87,24.32,41.33,41.81,60.28,45.47,61.92,49.44,64.51
ImageNet-Sketch,224 (original),53.31,79.18,56,81.38,57.91,83.06,60.16,84.75,65.06,86.94,68.95,89.82,70.53,90.53,72.75,91.08
,128,52.83,78.52,55.73,81.1,57.08,82.15,59.7,84.51,64.29,86.16,68.53,89.38,70.08,90.25,72.22,90.89
