Dataset,"Image 
Resolution",OpenCLIP-ViT-B/16,,OpenCLIP-ViT-B/32@256px,,"OpenCLIP-ViT-L/14
(laion2b_s32b_b82k)",,"OpenCLIP-ViT-L/14
(datacomp_xl_s13b_b90k)",,OpenCLIP-ViT-H/14,,OpenCLIP-ViT-H/14-quickgelu,,"OpenCLIP-
ViT-H/14-quickgelu@336px",,OpenCLIP-ViT-G/14,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224 (original),73.44,93.3,71.12,91.64,74.26,93.65,79.45,95.64,78.1,95.27,83.41,97.19,83.9,97.3,80.39,96.11
,128,71.23,91.99,69.74,90.8,71.69,92.22,77.82,94.9,76.17,94.32,82.42,96.67,82.95,96.93,78.62,95.33
,64,65.86,88.75,64.49,87.69,64.68,87.78,73.91,92.99,71.61,91.88,78.82,94.86,79.55,95.39,74.58,93.37
,32,51.3,77.48,50.54,76.48,45.31,70.51,61.39,84.57,56.73,81.19,67.12,87.47,66.95,87.37,60.77,83.74
,16,23.59,45.28,24.42,46.24,15.61,31.96,30.29,52.77,24.35,45.02,34.51,56.57,33.91,55.76,26.71,47.05
ImageNet-A,224 (original),45.39,76.93,31.73,62.49,45.99,75.57,67.11,88.61,56.77,84.52,69.76,89.6,76.53,92.73,66.43,88.6
,128,38.01,69.6,29.24,58.8,36.35,66.6,57.67,82.99,47.01,75.83,60.89,84.08,67.48,88.27,55.03,81.32
,64,25.61,53.29,21.83,46.93,23.76,48.61,41.91,68.88,33.08,60.41,43.35,68.93,47.16,72.47,38.31,66.29
,32,12.64,32.13,11.55,29.21,10.15,26.33,19.96,43.96,15.95,36.87,20.63,42.48,20.39,42.13,17.55,38.69
,16,4.49,13.73,4.39,13.63,2.96,10.56,5.76,16.85,5.04,14.76,6.08,17.88,5.88,16.96,5.25,14.33
ImageNet-V2,224 (original),66.08,88.76,62.44,86,66.1,89.1,72.2,92.32,71.16,91.65,77.35,94.01,77.66,94.5,73.41,92.81
,128,63.48,86.84,60.36,84.61,63.09,86.62,70.47,91.03,68.75,90.3,75.27,93.2,76.36,93.76,71.31,91.64
,64,56.23,82.24,55.16,80.3,55.68,80.5,65.48,88.21,63.01,86.44,70.3,90.27,71.05,90.93,66.12,88.46
,32,42.52,68.57,41.35,67.1,37.76,61.65,51.25,76.38,47.49,72.71,56.71,79.41,56.84,79.18,51.69,75.78
,16,18.24,38.23,19.21,38.72,12.13,26.47,23.74,44.37,19.23,37.45,27.33,47.29,26.94,47.01,21.08,39.5
ImageNet-R,224 (original),84.05,95.67,81.88,94.02,87.28,96.48,91,98.02,89.82,97.53,92.91,98.18,93.4,98.48,92.61,98.36
,128,82.24,94.77,80.39,93.44,85.04,95.38,89.78,97.42,88.31,96.72,91.81,97.63,92.59,98.05,91.42,97.75
,64,77.17,91.49,75.59,90.19,78.07,90.98,85.8,95.32,83.3,93.92,87.74,95.45,88.65,96.12,87.53,95.78
,32,60.53,79.79,60,78.43,55.22,72.93,71.15,85.7,65.04,81.65,73.59,85.95,73.45,86,72.49,85.72
,16,31.3,51.43,31.54,51.1,23.64,40.28,39.32,58.19,30.04,48.09,41.12,58.23,40.61,57.63,37.6,54.67
ImageNet-Sketch,224 (original),61.94,85.28,60.62,84.4,63.26,86.25,68.93,89.82,67.84,88.87,72.77,91.06,73.15,91.35,69.92,89.83
,128,59.74,84.08,59.93,83.82,61.18,84.7,67.44,88.61,65.72,87.69,71.59,90.35,72.07,90.69,68.46,88.74
,64,54.07,79.04,55.15,79.79,52.31,76.91,62.58,85.35,60.06,83.49,66.88,87.05,67.13,87.33,63.22,85.02
,32,36.33,60.32,39.07,63.39,26.67,46.27,45.85,69.71,39.37,62.95,51.12,72.8,50.34,71.99,45.04,67.61
,16,13.38,27.33,14.84,29.62,7.93,16.93,19.01,34.98,11.47,23.79,21.04,35.96,20.01,34.61,15.93,29.41
"Caltech101 
~300 x 200",224 (original),90.92,99.98,90.7,99.91,90.21,99.96,90.74,99.96,91.29,100,92.6,100,90.99,99.98,91.13,100
,128,90.37,99.96,90.61,99.93,89.82,99.96,90.3,100,90.77,99.95,92.14,99.95,91.69,99.96,90.84,99.96
,64,89.48,99.88,89.48,99.89,88.22,99.75,88.47,99.98,89.66,99.86,91.96,99.95,91.41,99.95,89.94,99.95
,32,84.81,98.46,84.75,98.44,81.81,97.41,85.28,99.26,85.09,98.83,90.1,99.33,89.48,99.22,87.46,99.03
