Dataset,"Image Resolution",SigLIP-ViT-B/16,,SigLIP-ViT-B/16@256px,,SigLIP-ViT-B/16@384px,,SigLIP-ViT-B/16@512px,,SigLIP-ViT-L/16@256px,,SigLIP-ViT-L/16@384px,,SigLIP-ViT-SO400M,,SigLIP-ViT-SO400M@336px,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224 (original),76.05,94.4,75.7,94.38,77.73,95.26,78.15,95.39,79.98,95.88,81.59,96.53,82.03,96.69,82.57,96.84
,128,73.39,93.07,73.24,93.11,74.85,93.83,75.32,94.12,78.32,95.04,79.87,95.72,80.77,96.03,81.19,96.27
,64,61.75,85.09,62.34,85.95,63.92,86.67,64.3,87.19,70.94,90.67,72.33,91.54,74.74,92.96,74.39,92.81
,32,36.81,61.53,38.22,63.48,37.61,62.63,37.25,62.1,50.73,74.52,51.18,74.89,55.37,78.57,54.36,77.56
,16,11.49,25.22,11.18,24.74,10.45,23.2,9.73,22.14,18.33,35.08,18.88,36.22,21.87,40.18,21,38.69
ImageNet-A,224 (original),45.33,74,44.96,72.73,56.03,81.56,60.07,84.27,57.49,81.57,70.89,88.89,71.89,89.49,78.64,93.04
,128,35.25,62.24,36.04,62.47,41.77,68.24,44.33,71.33,48.8,72.48,56.8,78.97,60.71,81.59,65.99,85.29
,64,18.17,37.83,18.43,38.87,20.51,41.59,22.05,43.49,28.39,50.8,33.04,54.79,37.48,60,38.71,62.21
,32,7.03,19.01,7.67,20.07,7.41,19.93,7.48,20.23,11.6,26.64,11.95,27.8,15.67,32.44,15.37,32.41
,16,2.67,8.05,2.56,8.35,2.51,8.31,2.27,7.77,3.71,10.44,3.91,11.21,4.32,12.37,4.37,12.24
ImageNet-V2,224 (original),68.97,90.63,68.43,90.13,71.1,91.82,71.23,92.09,73.06,92.91,75.15,93.66,76.11,94.04,76.59,94.2
,128,65.29,88.09,65.27,88.01,67.29,89.45,67.94,89.81,70.61,91.11,72.65,92.3,74.39,93.01,74.48,93.26
,64,52.31,77.81,52.85,78.73,55.05,80.02,55.42,80.45,62.05,84.84,63.86,86.23,66.76,87.94,65.95,87.6
,32,29.34,52.55,31.56,54.8,30.23,54.38,30.06,53.85,41.69,65.51,42.58,65.94,46.42,69.55,45.13,68.69
,16,8.78,20.51,8.54,20.68,8.22,18.98,7.42,18,14.3,29.28,14.45,30.41,17.39,33.8,16.3,32.36
ImageNet-R,224 (original),90.33,97.48,90.37,97.59,91.94,98.15,92.16,98.29,93.58,98.54,94.75,99.07,95.02,99.13,95.43,99.27
,128,88.84,96.75,88.78,96.76,90.17,97.49,90.65,97.66,92.68,98,93.85,98.57,94.19,98.72,94.75,98.94
,64,79.43,91.29,79.91,91.75,80.92,92.31,81.74,92.88,86.34,94.56,87.86,95.48,89.46,96.18,89.56,96.26
,32,54.76,72.36,56.42,74.15,56.32,73.65,56.83,74.12,66.3,80.48,67.66,81.39,70.5,83.69,70.04,83.14
,16,24.1,39.88,24.12,40.41,22.93,38.03,22.22,37.4,31.39,47.77,32.45,48.31,34.68,50.82,33.5,49.38
ImageNet-Sketch,224 (original),67.91,88.95,67.74,88.83,69.06,89.6,69.39,89.78,71.71,90.95,73.1,91.46,74.04,91.91,74.13,92.29
,128,65.59,87.37,65.29,87.3,66.12,87.82,66.34,87.88,69.79,89.62,71.04,90.39,72.67,91.18,72.46,91.21
,64,53.64,77.23,53.99,77.72,54.16,77.86,54.79,78.66,60.57,82.53,61.37,82.92,64.8,85.55,63.67,84.99
,32,28.33,48.37,30.05,50.83,29.57,50.25,30.28,51.1,38.14,59.36,39.15,60.76,42.44,63.91,41.21,62.92
,16,6.97,15.54,7.41,16.57,6.51,14.45,6.13,13.61,11.13,21.64,11.65,22.95,12.68,24.52,11.64,22.68
"Caltech101 
~300 x 200",224 (original),90.58,99.98,90.7,99.98,91.11,99.98,90.88,99.98,91.32,99.96,91.32,99.96,91.84,99.98,91.27,99.98
,128,89.87,99.93,89.91,99.95,91.13,99.95,90.77,99.96,91.34,99.98,91.89,99.95,91.59,99.98,91.18,99.98
,64,88.56,99.33,87.98,99.22,88.31,99.29,88.49,99.5,89.43,99.73,90.54,99.68,90.31,99.89,89.94,99.81
,32,78.87,94.65,80.02,95.87,79.42,94.71,78.64,94.56,83.42,97.57,83.83,97.56,85.41,97.96,85.05,97.73
,16,43.79,68.89,41.08,68.41,40.75,65.72,37.86,62.71,57.52,80.02,59.5,81.05,61.47,83.16,58.95,82.29
"DTD 
split-1 
300x300 - 640x640",224 (original),64.79,91.54,64.89,91.44,66.44,91.81,66.33,91.7,70.53,94.2,70.64,93.62,71.06,94.47,73.35,95.16
,128,63.51,90.16,64.04,89.57,64.41,90.53,64.31,90.64,68.51,93.19,68.72,93.3,69.84,93.14,71.81,93.88
,64,55.21,85,55.43,84.73,55,83.83,53.94,83.78,61.12,87.87,61.22,88.09,62.18,88.83,61.06,88.3
,32,31.91,63.67,35.53,66.7,34.04,64.89,33.09,64.36,42.39,72.34,40.43,71.6,43.72,71.6,41.33,70.69
,16,12.61,35.96,14.15,36.22,14.04,36.28,13.19,36.81,14.63,37.82,14.2,35.74,13.19,38.4,13.4,36.81
"Food101 
512*512",224 (original),89.84,97.77,89.74,97.63,91.34,98.09,91.6,98.13,92.61,98.15,93.53,98.32,93.69,98.56,94.37,98.66
,128,88.24,97.47,88.18,97.44,89.36,97.74,89.58,97.81,91.71,97.98,92.76,98.14,92.85,98.44,93.56,98.53
,64,78.68,94.06,79.36,94.3,80.47,94.63,80.49,94.81,87.42,96.76,88.23,97.09,89.08,97.43,89.58,97.48
,32,45.81,72.69,49.3,75.16,44.9,71.76,44,71.22,69.16,88.51,67.5,87.26,72.32,89.87,70.3,88.77
,16,14.42,35.26,14.25,35.75,13.73,33.88,13.78,34.09,25.14,50.37,23.56,48.31,28.64,53.77,25.88,50.73
SUN397,224 (original),69.85,93.5,70.25,93.79,70.74,93.92,71.51,94.25,71.38,94.38,71.98,94.28,75.62,95.84,75.43,96.03
,128,68.28,92.9,68.5,93.18,69.09,93.4,69.69,93.51,70.52,94.01,71.03,94.05,74.64,95.58,74.66,95.82
,64,58.6,87.11,59.4,87.94,60.09,88.29,60.87,88.9,65.5,91.28,66.22,91.62,70.9,94.1,71.25,94.1
,32,33.81,61.89,36.66,66.53,34.4,63.58,33.89,62.3,48.54,77.07,49.25,77.38,56.16,83.5,54.2,81.87
,16,10.28,25.81,9.77,25.73,9.28,24.36,8.45,21.89,15.23,33.35,16.17,35.3,22.56,45.1,20.84,42.29
"Stanford Cars 
360×240",224 (original),90.7,99.75,90.31,99.73,91.74,99.81,91.53,99.85,93.58,99.85,94.54,99.89,90.16,99.89,95.11,99.91
,128,88.36,99.55,87.78,99.47,89.38,99.66,89.47,99.58,92.14,99.81,93.41,99.88,89.35,99.78,94.23,99.88
,64,77.04,95.95,76.79,96.29,79.55,97,80.87,97.34,84.8,98.13,86.89,98.63,84.12,98.64,88.81,99.28
,32,33.93,63.54,37.01,66.31,36.84,66.8,34.22,64.43,50.91,77.69,50.65,77.53,55.7,81.27,56.55,82.59
,16,3.49,11.83,3.36,12.14,2.8,9.86,2.5,8.9,7.08,21.35,7.92,22.9,11.37,28.91,10.72,26.48
FGVC Aircraft,224 (original),43.83,78.01,44.7,77.05,45.36,79.57,45.72,80.26,52.51,88.15,54.76,89.74,60.28,91.54,61.09,92.2
,128,39.18,73.45,39.45,73.48,40.41,75.01,41.34,76,51.37,86.41,53.17,86.65,57.76,91.18,59.14,90.82
,64,27.3,58.78,25.98,57.7,28.35,58.63,28.71,59.08,39.63,74.17,41.16,75.94,47.73,83.92,50.62,87.19
,32,10.95,29.76,10.68,28.26,9.63,27.42,9,25.53,21.09,48.12,20.7,48.18,28.29,59.53,26.82,59.11
,16,2.61,8.37,2.49,8.49,2.4,7.26,2.13,6.96,5.43,15.96,4.83,15.84,7.92,22.05,6.63,20.64
Oxford Pets,224 (original),94.17,99.84,94,99.81,94.25,99.81,94.25,99.75,95.91,99.89,96.46,99.89,95.26,99.92,96.57,99.92
,128,92.7,99.78,92.7,99.81,92.61,99.75,92.89,99.81,95.53,99.86,95.69,99.84,94.49,99.84,95.69,99.86
,64,84.41,98.36,85.15,98.91,85.96,98.94,86.51,98.99,92.34,99.56,91.85,99.48,90.95,99.59,91.69,99.51
,32,63.04,91.52,64.73,91.5,65.74,92.1,66.01,92.5,77.32,95.83,77.73,95.72,76.51,95.69,76.89,95.94
,16,30.96,64.21,28.18,61.68,28.95,62.06,27.61,60.59,40.37,73.62,41.97,73.62,36.85,70.35,39.96,72.94
Flowers102,224 (original),85.88,95.85,85.18,95.43,86.84,95.74,86.86,95.72,88.65,96.49,89.12,97.09,92.21,98.59,92.49,98.67
,128,84.92,95.53,84.01,94.86,85.82,95.41,85.56,95.32,88.47,96.06,89.02,96.99,91.22,98.32,91.77,98.47
,64,78.65,93.33,78.24,92.91,78.86,93.54,78.81,93.09,84.79,95.4,85.64,96.34,88.62,97.9,89.36,97.63
,32,56.97,81.56,57.23,81.87,55.57,80.4,54.66,79.96,71.54,90.37,70.61,89.46,76.34,93.09,74.01,92.23
,16,24.72,52.48,23.11,51.65,22.56,51.52,20.64,48.82,41.06,65.73,37.65,62.69,41.57,65.72,38.9,62.84
EuroSAT,224 (original),43.87,84.26,44.52,83.3,43.09,85.52,39.54,82.65,55.61,92.69,58.02,92.41,61.63,96.94,65.28,97.07
,128,45.2,85.13,44.54,83.44,41.76,84.69,37.39,81.61,55.57,92.41,58.13,92.5,65.13,96.67,65.17,97.04
,64,43.87,84.26,44.39,83.17,41.63,84.61,38.15,81.8,55.7,92.7,57.98,92.39,61.63,96.94,64.8,96.89
,32,26.52,69.07,26.26,68.59,22.22,70.8,19.3,63.5,35.54,80.28,36.19,81.72,43.31,88.22,43.81,85.7
,16,17.26,55.78,17.04,53.65,16.31,55.96,16.72,50.8,16.5,59.48,19.13,59.48,25.24,69.43,24.65,70.61
UCF101,224 (original),72.59,90.77,72.85,91.3,75.18,92.12,76.21,92.47,77.85,94.37,79.99,95.03,79.38,95.59,81.31,95.61
,128,72.01,90.06,70.92,90.25,73.33,91.17,73.78,91.46,76.24,93.84,79.14,94.4,78.69,95,80.47,94.95
,64,61.38,83.98,60.4,83.8,62.62,85.3,62.89,84.83,68.7,90.06,71.72,90.91,71.61,90.75,72.77,90.99
,32,35.87,63.15,38.38,67.04,36.69,63.55,36.45,63.26,49.62,75.89,50.04,75.71,56.12,79.01,54.56,78.69
,16,11.37,30.21,11.23,30.9,10.12,27.81,9.46,25.67,18.93,40.13,18.5,39.15,23.84,46.39,22.89,45.39
