Model,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
CLIPA-ViT-G/14@336px,0.9978108581436077,0.9978108581436077,1.03292303129171,1.03292303129171,0.9993697478991597,0.9993697478991597,0.9968361105252057,0.9968361105252057,0.9960334029227558,0.9960334029227558,0.9929909365558912,0.9929909365558912,0.9904893177119228,0.9904893177119228,0.9956670879220075,0.9956670879220075,0.9450562462995855,0.9450562462995855,0.995537611559711,0.995537611559711,0.9940314704286489,0.9940314704286489,0.9979896971981405,0.9979896971981405,0.9996045346691274,0.9996045346691274,0.9994198189835227,0.9994198189835227,0.9883177570093458,0.9883177570093458,0.9948051752746894,0.992463003411918
EVA-02-CLIP-E/14+,0.9992326244244684,0.9992326244244684,1.0034071550255534,1.0034071550255534,0.9993659516009722,0.9993659516009722,0.9965064577598984,0.9965064577598984,1.0021925245353935,1.0021925245353935,0.9970724566967551,0.9970724566967551,0.9905702077501105,0.9905702077501105,0.9949897940248654,0.9949897940248654,0.9498474679682734,0.9498474679682734,0.9929116099237462,0.9929116099237462,0.9935781097305599,0.9935781097305599,0.9996368478392447,0.9996368478392447,1.002412221924417,1.002412221924417,0.9820962769741521,0.9820962769741521,0.9960327955567309,0.9960327955567309,0.9933235001156759,0.9875103765204241
CLIPA-ViT-H/14@336px (DataComp-1B),0.9977907875842262,0.9977907875842262,1.0095059772432666,1.0095059772432666,1.0003173931443081,1.0003173931443081,0.9975464049498615,0.9975464049498615,1.0,1.0,0.9944649446494465,0.9944649446494465,0.9932555852184909,0.9932555852184909,1.0151228733459357,1.0151228733459357,0.9242498770290212,0.9242498770290212,0.9955180877174262,0.9955180877174262,0.9926347971095054,0.9926347971095054,1.001430057202288,1.001430057202288,0.9944729569680221,0.9944729569680221,0.9956213017751478,0.9956213017751478,0.9861037586024352,0.9861037586024352,0.9932023201692919,0.9861563504909097
CLIPA-ViT-G/14,0.9994505494505495,0.9994505494505495,1.0118997620047598,1.0118997620047598,0.9977989728539985,0.9977989728539985,0.9975717905405405,0.9975717905405405,0.9980117203850984,0.9980117203850984,0.9937068861188431,0.9937068861188431,0.9964003876505606,0.9964003876505606,0.9862893302865178,0.9862893302865178,0.936592449177154,0.936592449177154,0.995958736573434,0.995958736573434,0.994167909941679,0.994167909941679,0.998741505159829,0.998741505159829,0.9984198051092967,0.9984198051092967,0.9957056638811514,0.9957056638811514,0.9904985031888585,0.9904985031888585,0.9927475981548182,0.9849394527410772
MetaCLIP- ViT-H/14 (2.5B),0.9748549323017408,0.9748549323017408,1.0127985016388326,1.0127985016388326,0.9958838580487261,0.9958838580487261,0.9980694980694982,0.9980694980694982,0.9997905759162304,0.9997905759162304,0.9910581222056632,0.9910581222056632,0.9772914946325352,0.9772914946325352,1.0082191780821919,1.0082191780821919,0.9229033970276008,0.9229033970276008,0.9927449918787223,0.9927449918787223,0.9936197362824329,0.9936197362824329,1.0056725072482038,1.0056725072482038,0.9928029311698509,0.9928029311698509,0.9956388495992455,0.9956388495992455,0.9874510862231819,0.9874510862231819,0.9899199773549772,0.9831936347757815
MetaCLIP- ViT-G/14 (2.5B),0.99669129811404,0.99669129811404,1.0150081124932395,1.0150081124932395,0.9990078271414399,0.9990078271414399,0.9978732454274777,0.9978732454274777,0.9932439455358072,0.9932439455358072,0.9929302779132129,0.9929302779132129,0.9896021073062526,0.9896021073062526,0.9738685854951713,0.9738685854951713,0.9402146142054164,0.9402146142054164,0.9956975368398407,0.9956975368398407,0.9927147766323023,0.9927147766323023,0.9961570793803292,0.9961570793803292,0.9899333246175971,0.9899333246175971,0.9828425946424618,0.9828425946424618,0.989347711730668,0.989347711730668,0.9896755358316839,0.9821883564873525
MetaCLIP- ViT-B/32 (2.5B),0.9966945791097398,0.9966945791097398,1.02221769262128,1.0222176926212228,0.9821544032070348,0.9821544032070348,1.0,1.0,0.9808622965244171,0.9808622965244171,0.9880266075388027,0.9880266075388027,0.9757133152173914,0.9757133152173914,1.0044198895027625,1.0044187586712485,0.9167789757412399,0.9167789388885367,0.9914047151277013,0.9914047151277013,0.9951785714285714,0.9951785714285714,1.0050936329588016,1.0050936329588016,0.9898350029463759,0.9898350029463759,1.000282925449144,1.000282925449144,0.9847238542890716,0.9847238542890716,0.988892430777489,0.981909785878872
CoCa-ViT-B/32,0.9958501570210858,0.9958501570210858,1.0209666740233942,1.0209666740082768,1.0083204564364674,1.0083204564364674,0.9960398743684281,0.9960398743684281,0.9874340850443174,0.9874340850443174,0.9904088050314466,0.9904088050314466,0.9829268292682928,0.9829268292682928,1.028616852146264,1.026909047110524,0.8875986994890849,0.8874708240056437,0.9914706642543293,0.9914706642543293,0.9978595057404165,0.9978595057404165,1.021820550398958,1.021820550398958,0.9927426670698518,0.9927426670698518,1.000463463618106,1.000463463618106,0.9775664034458005,0.9775664034458005,0.9920057124904165,0.9810954203356554
CLIPA-ViT-H/14,0.9942938659058488,0.9942938659058488,0.997442799461642,0.997442799461642,0.9992582388470912,0.9992582388470912,0.9975448334756618,0.9975448334756618,0.998329853862213,0.998329853862213,0.9940893978574068,0.9940893978574068,0.9962062666854012,0.9962062666854012,1.001258653241032,1.001258653241032,0.9188950554994954,0.9188950554994954,0.995940170940171,0.995940170940171,0.9954013377926422,0.9954013377926422,1.004816454048425,1.004816454048425,0.9968337730870713,0.9968337730870713,0.9889333647280434,0.9889333647280434,0.9857466364726256,0.9857466364726256,0.9909993801269847,0.98014371937027
MetaCLIP- ViT-L/14 (2.5B),0.9977496785255037,0.9977496785255037,1.0332128721390466,1.0332128721390466,0.9870437133844073,0.9870437133844073,0.9949874686716793,0.9949874686716793,1.0013729010455168,1.0013729010455168,0.9895175549381156,0.9895175549381156,1.0,1.0,0.9821073558648111,0.9821073558648111,0.8996804223982215,0.8996804223982215,0.9923630809513418,0.9923630809513418,0.9939086294416244,0.9939086294416244,1.004294556018694,1.004294556018694,0.9926607953029091,0.9926607953029091,0.9962478818687969,0.9962478818687969,0.9769845644983461,0.9769845644983461,0.9894754316699342,0.9796077099853757
EVA-02-CLIP-E/14,1.0045846523305315,1.0045846523305315,0.9998689555759401,0.9998689555759401,0.998940565737896,0.998940565737896,0.9965935703640623,0.9965935703640623,1.0014630577907828,1.0014630577907828,0.9957301451750641,0.9957301451750641,0.962979094076655,0.962979094076655,0.9742962056303549,0.9742962056303549,0.9391077420156579,0.9391077420156579,0.9959292983395822,0.9959292983395822,0.990630681023633,0.990630681023633,1.0043526924511879,1.0043526924511879,0.9976495168451294,0.9976495168451294,1.0066585956416467,1.0066585956416467,0.9907419653484988,0.9907419653484988,0.9906351158897748,0.9772425111666783
CLIPA-ViT-L/14@336px,0.9941681338028169,0.9941681338028169,1.0086221190515667,1.0086221190515667,0.9957255823893996,0.9957255823893996,0.9942807812668609,0.9942807812668609,1.002526581745447,1.002526581745447,0.9901039709382439,0.9901039709382439,0.9835511822587751,0.9835511822587751,0.9883161512027492,0.9883161512027491,0.9040135082478243,0.9040135082478243,0.9949222126188418,0.9949222126188418,0.9881715832977056,0.9881715832977056,0.998586118251928,0.998586118251928,0.9934377929556717,0.9934377929556717,1.0042032389664977,1.0042032389664977,0.988776348206953,0.988776348206953,0.988627020346752,0.9756243463182199
CLIPA-ViT-L/14,0.9931830676195711,0.9931830676195711,1.0311992200194995,1.0311992200194995,0.9952946208961607,0.9952946208961607,0.9944864864864864,0.9944864864864864,1.001473063973064,1.001473063973064,0.990575521487811,0.990575521487811,0.9640132431265295,0.9640132431265295,0.9759945130315499,0.9759945130315498,0.8979619565217393,0.8979619565217393,0.9952344849994584,0.9952344849994584,0.9938377758670105,0.9938377758670105,1.0113562198146457,1.0113562198146457,0.9958378088077335,0.9958378088077335,1.0012397718819739,1.0012397718819739,0.9873868933369893,0.9873868933369893,0.9886049765246816,0.9749966109163526
EVA-01-CLIP-g/14,0.9986735934563943,0.9986735934563943,1.0037164093767867,1.0037164093767867,0.9951858486341246,0.9951858486341246,0.9948418928010764,0.9948418928010764,0.9939167556029882,0.9939167556029882,0.9915900131406045,0.9915900131406045,1.0018530997304582,1.0018530997304582,0.9842436974789917,0.9842434540832443,0.8885448916408669,0.8885448916408669,0.990414623272403,0.990414623272403,0.9834227976002525,0.9834227976002525,0.9921801267358771,0.9921801267358771,0.9949930458970793,0.9949930458970793,1.0054106548279689,1.0054106548279689,0.9904208998548619,0.9904208998548619,0.9872938900033822,0.9726241616381148
EVA-02-CLIP-L/14+ ,1.0043041606886658,1.0043041606886658,0.9972199054767862,0.9972199054767862,0.9946529899607159,0.9946529899607159,0.9896840747904577,0.9896840747904577,0.9988297872340426,0.9988297872340426,0.995628824778319,0.995628824778319,0.9817757009345794,0.9817757009345794,0.9501582278481012,0.9501582278467658,0.9197324414715718,0.9197324414715718,0.9929630832521381,0.9929630832521381,0.9820237750072484,0.9820237750072484,0.9947513449678521,0.9947513449678521,0.9986663110162709,0.9986663110162709,1.002326182476092,1.002326182476092,0.9931796480698404,0.9931796480698404,0.9863930971981788,0.970103538342814
EVA-01-CLIP-g/14+,1.003761894224386,1.003761894224386,0.9943197186908304,0.9943197186908304,0.996031746031746,0.996031746031746,0.9938258232235703,0.9938258232235703,0.9993668882557771,0.9993668882557771,0.9918063784192614,0.9918063784192614,0.9866349866349865,0.9866349866349865,0.9688686408504177,0.9688686408502942,0.904357210306219,0.904357210306219,0.9945539701557564,0.9945539701557564,0.9815032295948326,0.9815032295948326,0.9961255327392482,0.9961255327392482,0.9965397923875432,0.9965397923875432,0.9922178988326847,0.9922178988326847,0.9923759356806211,0.9923759356806211,0.9861526430685253,0.969601172195768
