Model,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
EVA-02-CLIP-E/14+,0.5714588185475333,0.5714588185475333,0.5376436472988938,0.5376436472988938,0.8133221967007727,0.8133221967007727,0.36908517350157727,0.36908517350157727,0.5664796291778482,0.5664796291778482,0.3268012376602328,0.3268012376602328,0.5643030751347353,0.5643030751347353,0.5105792118487172,0.5105792118487172,0.3092279771045651,0.3092279771045651,0.5901902975073706,0.5901902975073706,0.8912519184389388,0.8912519184389388,0.11287370347773032,0.11287370347773032,0.5794697978452972,0.5794697978452972,0.7881195162437752,0.7881195162437752,0.5159218975232603,0.5159218975232603,0.5364485398674166,0.4026389420478552
CLIPA-ViT-G/14,0.5694679054054054,0.5694679054054054,0.5546102307774115,0.5546102307774115,0.7233151946421097,0.7233151946421097,0.2852873967305326,0.2852873967305326,0.5194239380370326,0.5194239380370326,0.39401910563477777,0.39401910563477777,0.4952311078503302,0.4952311078503302,0.4594559416894442,0.4594559416894442,0.4154346941543469,0.4154346941543469,0.6027126678957072,0.6027126678957072,0.9116483516483516,0.9116483516483516,0.10176669893514037,0.10176669893514037,0.599169393405487,0.599169393405487,0.7314298978644383,0.7314298978644383,0.5174296514069718,0.5174296514069718,0.5253601450718326,0.3847884929591245
EVA-CLIP-8B,0.4509556815795001,0.4509556815795001,0.48406417112299466,0.48406417112299466,0.6891471259597427,0.6891471259597427,0.3928630705394191,0.3928630705394191,0.4837821663674447,0.4837821663674447,0.30282485875706217,0.30282485875706217,0.43873892872205816,0.43873892872205816,0.4165591952540624,0.4165591952540624,0.23017902813299232,0.23017902813299232,0.5013709361535448,0.5013709361535448,0.83550542109298,0.83550542109298,0.10733388803042909,0.10733388803042909,0.5154280225717373,0.5154280225717373,0.7039702809380078,0.7039702809380078,0.5490361615308852,0.5490361615308852,0.473450595783524,0.3847076053889399
EVA-02-CLIP-E/14,0.5472642111986374,0.5472642111986374,0.5280128548473487,0.5280128548473487,0.7906782317901557,0.7906782317901557,0.3414932680538555,0.3414932680538555,0.5614249115530072,0.5614249115530072,0.35598141695702673,0.35598141695702673,0.5558851573259879,0.5558851573259879,0.5073402989022616,0.5073402989022616,0.3202349321773178,0.3202349321773178,0.5833115696004179,0.5833115696004179,0.9004475493941709,0.9004475493941709,0.1022741394308438,0.1022741394308438,0.5746797661982341,0.5746797661982341,0.7805084745762713,0.7805084745762713,0.4430611977460359,0.4430611977460359,0.5261731986501048,0.38064361687144993
EVA-01-CLIP-g/14+,0.49274263431542464,0.49274263431542464,0.4782703409214682,0.4782703409214682,0.7471773768070065,0.7471773768070065,0.2854973424449506,0.2854973424449142,0.4999369721416866,0.4999369721416866,0.3372438372438372,0.3372438372438372,0.39715608465608465,0.39715608465608465,0.45079013030219023,0.45079013030219023,0.2727539635936582,0.2727539635936582,0.5335373968591962,0.5335373968591962,0.8738658995352955,0.8738658995352955,0.10400647511129098,0.10400647511129098,0.556115200826553,0.556115200826553,0.6525668382076064,0.6525668382076064,0.5572085474709224,0.5572085474709224,0.48259126936247804,0.37507588132438746
CLIPA-ViT-H/14,0.5391759180187873,0.5391759180187873,0.49423076923076925,0.49423076923076925,0.6705636743215031,0.6705636743215031,0.25739458779106356,0.25739458779106356,0.47210934613963806,0.47210934613963806,0.4012926794997892,0.4012926794997892,0.4248172088587475,0.4248172088587475,0.4134807512987878,0.4134807512987878,0.3904682274247491,0.3904682274247491,0.5410290237467018,0.5410290237467018,0.8802809173707891,0.8802809173707891,0.08539354187689202,0.08539354187689202,0.5563655298099454,0.5563655298099454,0.6795384977631269,0.6795384977631269,0.5550471063257066,0.5550471063257066,0.49074585196513315,0.37057356807618536
CLIPA-ViT-G/14@336px,0.5586374182661886,0.5586374182661886,0.532299192520187,0.532299192520187,0.7035490605427975,0.7035490605427975,0.28001444304025996,0.28001444304025996,0.49764350453172207,0.49764350453172207,0.40689179875947623,0.40689179875947623,0.47920168067226887,0.47920168067226887,0.4422377985462097,0.4422377985462097,0.40586001085187196,0.40586001085187196,0.5742156604271026,0.5742156604271026,0.8947022767075306,0.8947022767075306,0.09425695677915927,0.09425695677915927,0.5695439125518281,0.5695439125518281,0.7144349036899512,0.7144349036899512,0.4468337535221711,0.4468337535221711,0.5066881580939149,0.3622220923903985
EVA-02-CLIP-L/14,0.48673237300985595,0.48673237300985595,0.42506008302381465,0.42506008302381465,0.690374787052811,0.690374787052811,0.25763831544178367,0.2576383154381765,0.48006519558676025,0.48006519558676025,0.3271663504111322,0.3271663504111322,0.38453038674033146,0.38453038674033146,0.43748286262681657,0.43748286262681657,0.25799823891987084,0.25799823891987084,0.5129205921938089,0.5129205921938089,0.8778550148957299,0.8778550148957299,0.10093310553292154,0.10093310553292154,0.5660927152317881,0.5660927152317881,0.7224532224532225,0.7224532224532225,0.47445047102483584,0.47445047102483584,0.4667835809430322,0.3462617029352585
MetaCLIP- ViT-G/14 (2.5B),0.5257337303275201,0.5257337303275201,0.4411100354953211,0.4411100354953211,0.7034611786716559,0.7034611786716559,0.32039386479833365,0.32039386479833365,0.46587030716723543,0.46587030716723543,0.3605989186191599,0.3605989186191599,0.3442839819204057,0.3442839819204057,0.4209626512361914,0.4209626512361914,0.3934020618556701,0.3934020618556701,0.5311805464766637,0.5311805464766637,0.8802249917282453,0.8802249917282453,0.11190597853857945,0.11190597853857945,0.532965053440615,0.532965053440615,0.6326101394731016,0.6326101394731016,0.3841265548945376,0.3841265548945376,0.46992199964288245,0.3418859697902618
CLIPA-ViT-H/14@336px (LAION-2B),0.4682910910475361,0.4682910910475361,0.35884166483153496,0.35884166483153496,0.6133064943320267,0.6133064943320267,0.22391857506361323,0.2239185750516523,0.3953429189464308,0.3953429189464308,0.35260930888575454,0.35260930888575454,0.33534775233248515,0.33534775233248515,0.3558708959376739,0.3558708959376739,0.2904113557358053,0.2904113557358053,0.4961261020571734,0.4961261020571734,0.8446430541763214,0.8446430541763214,0.07799283154121864,0.07799283154121864,0.516243654822335,0.516243654822335,0.5854450131069779,0.5854450131069779,0.55125,0.55125,0.43104271418779255,0.3395101420261369
