Model,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
EVA-02-CLIP-E/14+,0.7738377774675416,0.7738377774675416,0.9064547309633767,0.9064547309633767,0.9731418548563912,0.9731418548563912,0.7403971052143254,0.7403971052143254,0.898999756038058,0.898999756038058,0.9683650031321779,0.9683650031321779,0.9439923914192117,0.9439923914192117,0.8841544607190414,0.8841544607190414,0.9185205038863575,0.9185205038863575,0.4179377669310555,0.4179377669310555,0.8918060554732162,0.8918060554732162,0.9070895033416327,0.9070895033416327,0.9445103153900877,0.9445103153900877,0.7617504051863857,0.7617504051863857,0.8608833641893677,0.8608833641893677,0.8527893996138818,0.755943144928356
EVA-02-CLIP-E/14,0.762131170465669,0.762131170465669,0.9091590787359402,0.9091590787359402,0.9739111450714988,0.9739111450714988,0.7399020807833537,0.7399020807833537,0.8963035256801268,0.8963035256801268,0.9638415717420838,0.9638415717420838,0.9441678143871173,0.9441678143871173,0.8875761721178959,0.8875761721178959,0.9294855053538784,0.9294855053538784,0.403504411581956,0.403504411581956,0.8813072173727913,0.8813072173727913,0.7930808544096449,0.7930808544096449,0.9704600484261502,0.9704600484261502,0.7645180023228804,0.7645180023228804,0.8688004232244412,0.8688004232244412,0.8458766014450285,0.7296320013415568
CLIPA-ViT-G/14,0.807405398074054,0.807405398074054,0.9005636498989684,0.9005636498989684,0.981978021978022,0.981978021978022,0.7245561610124802,0.7245561610124802,0.8613094517729639,0.8613094517729639,0.9586647132691503,0.9586647132691503,0.9431925374698669,0.9431925374698669,0.8981877674301537,0.8981877674301537,0.9233605478008955,0.9233605478008955,0.36350435624394967,0.36350435624394967,0.8790118243243243,0.8790118243243243,0.860422791544169,0.860422791544169,0.9692432683379759,0.9692432683379759,0.7621486916793575,0.7621486916793575,0.8163477808147859,0.8163477808147859,0.8433264641100744,0.7278912408450681
EVA-CLIP-8B,0.6778839682326019,0.6778839682326019,0.8850267379679144,0.8850267379679144,0.9990143467309166,0.9990143467309166,0.8146058091286307,0.8146058091286307,0.8497905445840814,0.8497905445840814,0.9408590993982155,0.9408590993982155,0.9003584985238295,0.9003584985238295,0.8512426461760115,0.8512426461760115,0.9041650345998171,0.9041650345998171,0.35052894330203255,0.35052894330203255,0.8204158790170133,0.8204158790170133,0.8179259884620798,0.8179259884620798,0.9381239842117484,0.9381239842117484,0.6573446327683616,0.6573446327683616,0.792107299458344,0.792107299458344,0.8132928941707733,0.7136209624539086
CLIPA-ViT-H/14,0.7962653288740245,0.7962653288740245,0.8776709401709403,0.8776709401709403,0.9756391967518929,0.9756391967518929,0.6859660163624922,0.6859660163624922,0.8374584410786851,0.8374584410786851,0.9323590814196242,0.9323590814196242,0.9191480343329447,0.9191480343329447,0.888180161416298,0.888180161416298,0.8986807387862797,0.8986807387862797,0.32757315842583246,0.32757315842583246,0.8678479931682321,0.8678479931682321,0.834185733512786,0.834185733512786,0.9370143630798211,0.9370143630798211,0.7586061542784881,0.7586061542784881,0.7850006660450247,0.7850006660450247,0.8214397338468911,0.6999034557618241
CLIPA-ViT-G/14@336px,0.8058871405317417,0.8058871405317417,0.890777730556736,0.890777730556736,0.9761383537653241,0.9761383537653241,0.7073478967322622,0.7073478967322622,0.8500302114803626,0.8500302114803626,0.9516701461377871,0.9516701461377871,0.9380252100840335,0.9380252100840335,0.8910667169242367,0.8910667169242367,0.9169522805167414,0.9169522805167414,0.34138543516873887,0.34138543516873887,0.8746045138156509,0.8746045138156509,0.7682040634732313,0.7682040634732313,0.9697145509398931,0.9697145509398931,0.7499655410062026,0.7499655410062026,0.8017912772585669,0.8017912772585669,0.8289040712261004,0.6960398776963843
OpenCLIP- ViT-H/14-quickgelu@336px,0.688174982911825,0.688174982911825,0.8597496286866115,0.8597496286866115,0.9834047697549182,0.9834047697549182,0.5827369650942018,0.5827369650942018,0.7979737783075089,0.7979737783075089,0.8965125877011969,0.8965125877011969,0.8715328467153284,0.8715328467153284,0.7733145708072151,0.7733145708072151,0.8412039439543332,0.8412039439543332,0.26643146478505164,0.26643146478505164,0.7864025695931477,0.7864025695931477,0.9616171149913482,0.9616171149913482,0.9428133216476775,0.9428133216476775,0.7701942020827469,0.7701942020827469,0.7319083183105847,0.7319083183105847,0.7835980710229131,0.6845935780190934
OpenCLIP-ViT-H/14-quickgelu,0.7024872887178782,0.7024872887178782,0.868684715412492,0.868684715412492,0.9730021598272138,0.9730021598272138,0.6047032474804032,0.6047032474804032,0.8046996762978061,0.8046996762978061,0.9017412935323382,0.9017412935323382,0.8725203591564,0.8725203591564,0.7861935483870968,0.7861935483870968,0.8463040083289953,0.8463040083289953,0.2957282110091743,0.2957282110091743,0.7920568291895383,0.7920568291895383,0.9019517442753958,0.9019517442753958,0.9360691144708425,0.9360691144708425,0.7444397223402748,0.7444397223402748,0.7331609566903685,0.7331609566903685,0.7842495250077478,0.6796817066026851
EVA-01-CLIP-g/14+,0.700822078684674,0.700822078684674,0.8638492538939113,0.8638492538939113,0.9638194290772295,0.9638194290772295,0.5763097949886105,0.576309794988537,0.8433127442329511,0.8433127442329511,0.946713094861243,0.946713094861243,0.8338844797178131,0.8338844797178131,0.8764044943820224,0.8764044943820224,0.8911365451157838,0.8911365451157838,0.3554566302441657,0.3554566302441657,0.8345970537261699,0.8345970537261699,0.8325669461725724,0.8325669461725724,0.9146479226810594,0.9146479226810594,0.7037422037422038,0.7037422037422038,0.8084280565566954,0.8084280565566954,0.796379381871807,0.6771217469199556
EVA-02-CLIP-L/14,0.6878485471088934,0.6878485471088934,0.8470613939261525,0.8470613939261525,0.9664570230607967,0.9664570230607967,0.5474814203137903,0.5474814203061251,0.8461634904714141,0.8461634904714141,0.9390971039182283,0.9390971039182283,0.8335911602209944,0.8335911602209944,0.8675496688741722,0.8675496688741722,0.9005383580080754,0.9005383580080754,0.34498620055197793,0.34498620055197793,0.8342900465720784,0.8342900465720784,0.8349985726520125,0.8349985726520125,0.9545218295218295,0.9545218295218295,0.7518975332068311,0.7518975332068311,0.809021113243762,0.809021113243762,0.7977002307767341,0.6770541680167346
