Model,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
EVA-02-CLIP-E/14+,0.9303079416531604,0.9303079416531604,0.9852586437952291,0.9852586437952291,0.9780434252256648,0.9780434252256648,0.7749847467968273,0.7749847467968273,0.9804149904721576,0.9804149904721576,0.9778756309741166,0.9778756309741166,0.971795182181334,0.971795182181334,0.9867204173583115,0.9867204173583115,1.0,1.0,0.9714361280084632,0.9714361280084632,0.994779703487158,0.994779703487158,0.9903835992814118,0.9903835992814118,0.9957246217934663,0.9957246217934663,0.9523942482200196,0.9523942482200196,0.9426609760623492,0.9426609760623492,0.9621853503539781,0.9285886162556968
EVA-02-CLIP-E/14,0.9290069686411151,0.9290069686411151,0.9826325411334552,0.9826325411334552,0.9760888129803588,0.9760888129803588,0.7520815210637505,0.7520815210637505,0.9743453268043433,0.9743453268043433,0.9783610069630424,0.9783610069630424,0.974381295858724,0.974381295858724,1.0012106537530268,1.0012106537530268,1.0,1.0,0.9672001058061103,0.9672001058061103,0.9983279339533911,0.9983279339533911,0.9913126390507468,0.9913126390507468,1.0068769784957974,1.0068769784957974,0.9490980282477975,0.9490980282477975,0.9449204406364748,0.9449204406364748,0.9617229502258756,0.9237590104065355
CLIPA-ViT-G/14@336px,0.9392143349414197,0.9392143349414197,0.9854996045346692,0.9854996045346692,0.9637462235649547,0.9637462235649547,0.7184132622853759,0.7184132622853759,0.9780636996414259,0.9780636996414259,0.9776880577985549,0.9776880577985549,0.9747455710516396,0.9747455710516396,1.007310280807612,1.007310280807612,1.016164911760344,1.016164911760344,0.9471703011422636,0.9471703011422636,0.9920668058455115,0.9920668058455115,0.9931722689075629,0.9931722689075629,0.9929947460595446,0.9929947460595446,0.9561855670103092,0.9561855670103092,0.9355479328398628,0.9355479328398628,0.9585322378794033,0.9181800759234489
CLIPA-ViT-G/14,0.941852415893673,0.941852415893673,0.9860416117987885,0.9860416117987885,0.966719109282343,0.966719109282343,0.7237415295256534,0.7237415295256534,0.9797297297297297,0.9797297297297297,0.9812825693927469,0.9812825693927469,0.9773470928769192,0.9773470928769192,1.0011606313834727,1.0011606313834727,1.0,1.0,0.9534036183782377,0.9534036183782377,0.996232733361239,0.996232733361239,0.9921391887642804,0.9921391887642804,0.9976923076923078,0.9976923076923078,0.9590397395903972,0.9590397395903972,0.9325013183336263,0.9325013183336263,0.9592589064002277,0.9160067382165252
CLIPA-ViT-H/14,0.9439370521287059,0.9439370521287059,0.9775725593667546,0.9775725593667546,0.9589951976357591,0.9589951976357591,0.6709132189707366,0.6709132189707366,0.9757685738684884,0.9757685738684884,0.9719017094017095,0.9719017094017095,0.9786513928664412,0.9786513928664412,0.9736284436072522,0.9736284436072522,1.0,1.0,0.943119754895431,0.943119754895431,0.9869519832985386,0.9869519832985386,0.9924764225919254,0.9924764225919254,0.9939646658619555,0.9939646658619555,0.9547101449275363,0.9547101449275363,0.935179358086847,0.935179358086847,0.950518031833872,0.9029435786688559
CLIPA-ViT-H/14@336px (DataComp-1B),0.9326963608261907,0.9326963608261907,0.9735491512041059,0.9735491512041059,0.958548585485855,0.958548585485855,0.6587555336940483,0.6587555336940483,0.9735438446767656,0.9735438446767656,0.9706541457688613,0.9706541457688613,0.9776391055642226,0.9776391055642226,0.9738461538461539,0.9738461538461539,1.0109462768255797,1.0109462768255797,0.9366066701958707,0.9366066701958707,0.9821652065081352,0.9821652065081352,0.9907955988150657,0.9907955988150657,0.9983430906881696,0.9983430906881696,0.9451083935519735,0.9451083935519735,0.941398865784499,0.941398865784499,0.9483064655623665,0.9016537871240758
EVA-CLIP-8B,0.9076271186440679,0.9076271186440679,0.9852461156808981,0.9852461156808981,0.9642130460801915,0.9642130460801915,0.6640912872934744,0.6640912872934744,0.9609325771896661,0.9609325771896661,0.9737967914438502,0.9737967914438502,0.9632608956657461,0.9632608956657461,0.9828186672858138,0.9828186672858138,1.0,1.0,0.9432550941449573,0.9432550941449573,0.9908694749948123,0.9908694749948123,0.9869253479544495,0.9869253479544495,1.0084328113021575,1.0084328113021575,0.9164086687306501,0.9164086687306501,0.940746887966805,0.940746887966805,0.9459083189585025,0.8991935471809595
MetaCLIP- ViT-G/14 (2.5B),0.9151531956190213,0.9151531956190213,0.9534579683618776,0.9534579683618776,0.9489273525109702,0.9489273525109702,0.6822943280531425,0.6822943280531425,0.9685240323266694,0.9685240323266694,0.963106378401635,0.963106378401635,0.953284496217125,0.953284496217125,0.958379455390746,0.958379455390746,1.0,1.0,0.925960021041557,0.925960021041557,0.9842012264837335,0.9842012264837335,0.9665968470951385,0.9665968470951385,0.9925002757251571,0.9925002757251571,0.9440549828178695,0.9440549828178695,0.9026699488733194,0.9026699488733194,0.9372740339278642,0.8913739005181256
EVA-01-CLIP-g/14,0.9524932614555256,0.9524932614555256,0.9741307371349096,0.9741307371349096,0.9516425755584758,0.9516425755584758,0.6280185758513932,0.6280185758513932,0.9509979816102264,0.9509979816102264,0.9546366473473028,0.9546366473473028,0.9362275852770662,0.9362275852770662,0.980299667036626,0.980299667036626,1.004002287021155,1.004002287021155,0.932510885341074,0.932510885341074,0.9758804695837779,0.9758804695837779,0.9582400358262428,0.9582400358262428,0.9829777826903947,0.9829777826903947,0.905904641616672,0.905904641616672,0.8970588235294118,0.8970586016938,0.9323347971253503,0.8858616815348576
EVA-01-CLIP-g/14+,0.9257499257499258,0.9257499257499258,0.981368112856002,0.981368112856002,0.9605445606958276,0.9605445606958276,0.6937811951976258,0.6937811951976258,0.9665294627383016,0.9665294627383016,0.9680862651127328,0.9680862651127328,0.9682293684618364,0.9682293684618364,0.9875737416844484,0.9875737416844484,1.0,1.0,0.9567507624064319,0.9567507624064319,0.9873377651155428,0.9873377651155428,0.9678130511463845,0.9678130511463845,0.9984509847311352,0.9984509847311352,0.9192601291837932,0.9192601291837932,0.8071374335611238,0.8071374335610209,0.9392408505760742,0.8831164085356316
