Dataset,"Image 
Resolution",CLIPA-ViT-G/14,,CLIPA-ViT-G/14@336px,,CLIPA-ViT-H/14,,"CLIPA-ViT-H/14@336px
(DataComp-1B)",,"CLIPA-ViT-H/14@336px
(LAION-2B)",,CLIPA-ViT-L/14,,CLIPA-ViT-L/14@336px,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
Imagenet,224 (original),82.63,96.72,82.75,96.79,81.21,96.42,81.3,96.48,78.59,95.72,79.58,95.86,79.83,96.03
,128,82.11,96.58,82.17,96.65,80.73,96.14,80.85,96.23,77.66,95.37,78.83,95.54,79.04,95.7
,64,79.88,95.59,79.75,95.67,77.88,94.86,77.93,94.89,73.76,93.33,75.7,94.04,75.5,94.03
,32,71.17,90.81,70.34,90.28,68.01,88.92,66.71,87.82,60.8,84.29,63.9,86.46,62.55,85.27
,16,42.92,65.68,41.18,63.69,38.34,60.75,34.72,56.57,31.07,53.33,34.2,56.95,33.32,55.61
ImageNet-A,224 (original),82.64,94.73,84.45,95.41,79.28,93.23,81.32,94.21,69.75,90.19,73.6,91.28,76.99,92.52
,128,77.4,92.21,79.81,93.57,72.85,90.15,75.16,91.44,60.71,85.52,66.09,87.33,69.6,89.23
,64,59.81,81.57,60.67,81.96,53.19,76.83,53.57,77.4,39.32,66.76,45.73,71.75,46.67,72.17
,32,30.04,53.11,28.83,50.52,25.97,48.39,24.36,46.12,17.79,38.51,21.53,42.87,19.91,40.55
,16,8.41,19.92,7.96,19.07,6.77,17.69,6.05,15.63,5.44,15.45,6.32,16.65,5.81,16.21
ImageNet-V2,224 (original),76.83,94.16,77.04,94.06,75.07,93.32,75.56,93.27,71.88,92.4,72.94,92.79,73.06,92.84
,128,76.1,93.76,76.14,93.8,74,92.7,74.51,92.92,70.67,91.96,72.02,92.07,72.24,92.33
,64,73.25,92.31,72.97,92.3,70.8,90.73,70.77,90.76,66.04,88.77,68.12,89.88,68.08,89.94
,32,62.72,84.75,61.77,84.35,58.93,81.96,57.37,80.98,52.6,77.45,55.45,79.51,53.99,77.97
,16,35.3,57.1,34.07,55.49,31.04,52.31,28.11,48.42,25.58,46.47,28.27,49.44,26.82,47.83
ImageNet-R,224 (original),94.72,99.08,94.82,99.11,93.68,98.75,93.74,98.78,91.93,98.2,92.5,98.36,92.67,98.47
,128,94.49,98.96,94.52,99.02,93.45,98.58,93.51,98.59,91.53,98.06,91.99,98.13,92.14,98.24
,64,92.8,98.08,92.74,98.08,91.41,97.49,91.26,97.46,88.25,96.28,89.39,96.72,89.26,96.73
,32,83.26,92.6,82.93,92.24,81.3,91.33,80.05,90.52,74.73,87.74,77.74,89.59,76.58,88.8
,16,53.94,69.65,52.97,68.82,50.51,66.77,47.81,64.17,43.05,61.01,46.53,63.55,45.43,62.87
ImageNet-Sketch,224 (original),73.73,91.81,73.72,91.94,71.76,91.11,71.96,91.16,69.04,89.73,69.78,90.02,70.17,90.09
,128,73.3,91.53,73.28,91.58,71.43,90.83,71.43,90.81,68.36,89.4,69.35,89.67,69.34,89.81
,64,70.71,90.04,70.49,89.72,68.51,88.79,68.01,88.43,64.03,86.55,66.36,87.56,65.91,87.29
,32,59.53,81.17,59.41,80.95,57.14,79.25,55.38,77.85,48.36,72.21,53.96,76.74,52.94,75.98
,16,30.63,49.79,29.92,49,28.02,46.59,26.24,44.35,20.05,36.56,25.5,43.37,24.77,42.58
"Caltech101 
~300 x 200",224 (original),91,99.93,91.36,99.96,91.13,99.96,90.53,99.96,90.63,99.93,90.95,99.96,90.88,99.98
,128,90.95,99.96,91.16,99.96,90.61,99.96,90.33,99.96,90.77,99.93,90.33,99.98,90.35,99.98
,64,90.79,99.96,90.72,99.95,90.58,99.95,90.38,99.96,90.08,99.93,90.21,100,90.42,99.95
,32,89.36,99.84,89.18,99.82,88.91,99.77,88.37,99.57,86.51,99.42,87.98,99.65,87.78,99.59
,16,82.96,96.28,81.74,95.86,80.22,95.66,78.17,94.47,76.55,93.27,79.37,95.56,78.86,94.95
"DTD 
split-1 
300x300 - 640x640",224 (original),72.23,94.89,72.55,94.84,71.17,94.84,71.17,94.52,70.9,94.31,69.47,93.56,68.09,93.24
,128,71.97,94.36,71.86,94.41,70.9,94.63,70.69,94.57,69.89,93.19,66.97,92.61,66.97,92.39
,64,68.03,92.18,68.14,92.45,67.18,92.34,66.38,91.33,65.11,90.59,64.15,91.12,63.03,90.64
,32,55.05,82.18,54.41,81.44,53.99,82.18,50.9,80.16,49.36,79.15,53.4,80.21,50,78.3
,16,28.46,56.38,29.52,57.02,28.56,57.34,26.38,52.77,25,53.03,26.6,55.43,25.21,53.09
"Food101 
512*512",224 (original),94.03,98.42,94.12,98.49,93.6,98.42,93.71,98.39,90.82,98.23,92.33,97.93,92.56,98
,128,93.65,98.45,93.7,98.51,93.22,98.35,93.29,98.35,90.2,98.09,91.89,97.81,92.09,97.88
,64,92.27,98.29,92.02,98.2,90.97,98,90.96,98,86.63,97.29,89.39,97.3,89.16,97.3
,32,84.68,96.02,83.84,95.98,82.15,95.08,80.39,94.49,71.89,91.57,77.61,93.2,75.23,92.1
,16,52.15,76.54,50.1,75.13,46.26,72.13,43.07,68.94,32.59,60.37,40,66.13,38.26,64.13
SUN397,224 (original),75.94,96.36,75.86,96.55,75.8,96.36,75.99,96.3,74.86,96,74.48,96.06,74.67,96.09
,128,75.82,96.28,75.83,96.4,75.56,96.21,75.57,96.33,74.25,95.88,74.17,95.98,74.18,95.97
,64,74.88,95.81,74.76,95.96,74.1,95.83,73.98,95.81,72.71,94.97,72.4,95.4,72.78,95.4
,32,70.12,93.67,69.56,93.53,68.12,93.22,67.13,92.42,64.93,90.77,65.39,91.25,64.11,90.51
,16,45.77,73.8,43.56,71.61,41.01,69.17,38,65.27,37.14,64.41,37.85,65.52,36.44,64.18
"Stanford Cars 
360×240",224 (original),95.41,99.9,95.2,99.91,94.37,99.89,94.52,99.9,94.32,99.91,93.51,99.9,93.58,99.88
,128,95.2,99.88,95.14,99.93,94.3,99.85,94.55,99.85,94.17,99.89,93.07,99.88,93.18,99.88
,64,94.66,99.88,94.55,99.9,93.66,99.84,93.65,99.81,92.97,99.86,91.99,99.84,91.79,99.8
,32,89.99,99.13,89.3,99.14,86.74,98.77,86.3,98.58,83.16,97.77,82.97,98.1,81.68,97.66
,16,47.25,76.77,45.62,74.68,40.09,69.89,32.83,62.39,31.63,59.12,33.55,62.41,31.61,60.48
FGVC Aircraft,224 (original),56.89,96.25,55.39,96.16,47.67,93.82,47.61,93.85,35.37,80.5,43.74,87.88,43.65,88.36
,128,56.11,96.43,55.15,96.1,47.73,93.22,48.33,93.61,34.29,80.29,42.69,88,43.14,87.22
,64,53.05,94.03,51.82,93.49,44.58,91.18,44.82,90.91,30.3,72.16,39.33,83.38,40.11,82.39
,32,41.22,82.36,39.18,79.72,32.7,75.49,31.23,71.44,19.26,49.14,27.09,61.63,25.71,59.08
,16,16.23,40.38,15.51,41.1,12.27,33.45,9.99,29.28,7.92,24.21,9.57,25.68,9.27,24.57
Oxford Pets,224 (original),95.56,99.95,95.8,99.95,95.8,99.92,95.88,99.92,94.39,99.92,95.04,99.89,94.99,99.86
,128,95.37,99.92,95.42,99.95,95.64,99.86,95.88,99.89,94.14,99.92,95.18,99.86,95.23,99.84
,64,95.2,99.86,95.04,99.92,94.55,99.86,94.17,99.81,92.97,99.84,93.51,99.78,93.57,99.89
,32,91.61,99.81,91.17,99.73,89.32,99.37,88.85,99.35,86.15,98.96,87.76,98.91,86.51,98.69
,16,69.12,92.07,67.4,91.61,64.24,89.72,60.89,87.38,57.89,87.16,57.07,86.51,56.45,85.99
Flowers102,224 (original),86.16,95.38,86.18,94.89,84.94,94.21,84.5,94.45,80.11,91.25,80.66,92.88,80.89,92.75
,128,85.79,95.41,86.13,95.07,84,94.47,84.13,94.41,79.77,91.15,80.76,92.81,81.23,92.62
,64,86.26,95.1,86.81,94.89,82.7,93.98,82.29,94.24,77.79,90.18,80.24,91.88,79.95,91.74
,32,83.51,94.26,83.57,94.06,79.59,92.49,78.09,92.21,70.73,86.71,75.13,89.54,73.65,89.07
,16,63.02,82.96,61.57,82.94,57.72,80.92,54.06,78.57,46.9,70.74,53.31,77.04,51.81,75.69
EuroSAT,224 (original),71.43,98.83,67.43,97.98,74.3,98.35,69.43,97.81,64,95.67,61.54,98.43,60.31,97.7
,128,72.28,98.63,69.65,98.41,74.11,98.2,70.09,97.87,64.74,95.89,63.46,98.54,60.83,97.57
,64,71.43,98.83,68.52,98.35,74.3,98.35,70.19,98.46,64.87,96.61,61.54,98.43,59.52,97.96
,32,61.46,94.98,51.8,92.72,61.98,96.19,55.28,94.15,54.15,92.83,48.02,93.41,43.24,88.56
,16,36.96,85.54,30.13,78.57,41.24,86.11,35.8,84.04,35.28,80.72,26,72.65,24.33,72.09
UCF101,224 (original),79.46,95.88,79.59,95.88,76.82,95.45,76.92,95.51,78.8,95.32,76.61,94.53,77.8,94.69
